Company,Address,Phone Number,Map Link,E mail
Pcloudy | Digital Experience Testing | Mobile & Web App Testing,https://www.google.com/maps/place/Pcloudy+%7C+Digital+Experience+Testing+%7C+Mobile+%26+Web+App+Testing/data=!4m7!3m6!1s0x3bae150cc9497c57:0x9adb4d9fdd8475d0!8m2!3d12.914979!4d77.644908!16s%2Fg%2F11byxd_5_8!19sChIJV3xJyQwVrjsR0HWE3Z9N25o?authuser=0&hl=en&rclk=1,08022582242,"1781, 19th Main Rd, Vanganahalli, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102 ",[]
Ringg AI,https://www.google.com/maps/place/Ringg+AI/data=!4m7!3m6!1s0x3bae15ad0b1c9e83:0x66c3d9d260db2ad4!8m2!3d12.92895!4d77.633006!16s%2Fg%2F11xg460gtp!19sChIJg54cC60VrjsR1CrbYNLZw2Y?authuser=0&hl=en&rclk=1,Not present on google business profiles,"Prestige Atlanta, 80 Feet Rd, Koramangala 1A Block, Koramangala 3 Block, Koramangala, Bengaluru, Karnataka 560034 ",[]
Observe.AI,https://www.google.com/maps/place/Observe.AI/data=!4m7!3m6!1s0x3bae15651f7ac127:0xa0db3b28b9e493ea!8m2!3d12.924084!4d77.6715529!16s%2Fg%2F11g2w3sz2n!19sChIJJ8F6H2UVrjsR6pPkuSg726A?authuser=0&hl=en&rclk=1,Not present on google business profiles,"2nd Floor, Indiqube Lakeside, Outer Ring Rd, Green Glen Layout, Bellandur, Bengaluru, Karnataka 560103 ","['legal@observe.ai', 'privacy@observe.ai', 'support@observe.ai']"
AI Lead Vision Pvt. Ltd,https://www.google.com/maps/place/AI+Lead+Vision+Pvt.+Ltd/data=!4m7!3m6!1s0x3bae1493060bcea3:0xc783f5dfd0ebb882!8m2!3d12.909095!4d77.633144!16s%2Fg%2F11nxd0xcyq!19sChIJo84LBpMUrjsRgrjr0N_1g8c?authuser=0&hl=en&rclk=1,08050243330,"#845, 7th Main, 22nd Cross Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102 ","['info@aileadvision.com', 'sunilaesi@gmail.com', 'Email: *****@gmail.com']"
Ai palette,https://www.google.com/maps/place/Ai+palette/data=!4m7!3m6!1s0x3bae15c54b3930eb:0x55253ba05355de6d!8m2!3d12.9277393!4d77.6325994!16s%2Fg%2F11tc2t1tqs!19sChIJ6zA5S8UVrjsRbd5VU6A7JVU?authuser=0&hl=en&rclk=1,139953,"4th Floor, 80 Feet Rd, Koramangala 1A Block, Koramangala 3 Block, Koramangala, Bengaluru, Karnataka 560034 ","['himanshu@aipalette.com', 'hi******@aipalette.com', 'support@aipalette.com', 'hafizah@cmtsp.com.sg']"
Sanas AI Private Limited,https://www.google.com/maps/place/Sanas+AI+Private+Limited/data=!4m7!3m6!1s0x3bae15ef00851531:0x1ea0e8f6065878be!8m2!3d12.9177484!4d77.6709554!16s%2Fg%2F11t6n7277j!19sChIJMRWFAO8VrjsRvnhYBvbooB4?authuser=0&hl=en&rclk=1,Not present on google business profiles,"Prestige Pegasus, Sarjapur - Marathahalli Rd, Ambalipura, Haralur, Bengaluru, Karnataka 560102 ","['info@sanas.ai', 'cs@jaa-associates.com']"
Intuit,https://www.google.com/maps/place/Intuit/data=!4m7!3m6!1s0x3bae130a68665423:0xc95eba1285cf4015!8m2!3d12.9235696!4d77.6812644!16s%2Fg%2F1td7rmvk!19sChIJI1RmaAoTrjsRFUDPhRK6Xsk?authuser=0&hl=en&rclk=1,08041769200,"EcoSpace, Intuit Campus 8 , Campus 4A , Campus 6A, Pritech Rd, Adarsh Palm Retreat, Bellandur, Bengaluru, Karnataka 560103 ","['Email security@intuit.com', 'press-inquiries@intuit.com', 'copyright@intuit.com', 'Payments@intuit.com', 'paymentnotification@email.paymentsolutions.intuit.com']"
Digitap.AI Enterprise Solutions Private Limited,https://www.google.com/maps/place/Digitap.AI+Enterprise+Solutions+Private+Limited/data=!4m7!3m6!1s0x3bae15f987377565:0x29c3616e56e72d8f!8m2!3d12.9568058!4d77.6999666!16s%2Fg%2F11p5gbgqp_!19sChIJZXU3h_kVrjsRjy3nVm5hwyk?authuser=0&hl=en&rclk=1,Not present on google business profiles,"Novel MSR Building, Subbaiah Reddy Colony, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037 ","['sales@digitap.ai', 'knageen@gmail.com', 'info@digitap.ai', 'admin@digitap.ai']"
Amoga,https://www.google.com/maps/place/Amoga/data=!4m7!3m6!1s0x3bae13b40f1677cf:0xfc5c2b71564c744f!8m2!3d12.9363952!4d77.69753!16s%2Fg%2F11pz0_x9z0!19sChIJz3cWD7QTrjsRT3RMVnErXPw?authuser=0&hl=en&rclk=1,08447744320,"4th Floor, WMPW+HX4 Krishna Tech Park, Kaverappa Layout, Kadubeesanahalli, Bengaluru, Karnataka 560103 ","['team@amoga.io', 'legal@amoga.io', 'info@amogasoft.com', 'Email: *****@amogasoft.com', 'bishal@amoga.io']"
Arteria Technologies Private Limited,https://www.google.com/maps/place/Arteria+Technologies+Private+Limited/data=!4m7!3m6!1s0x3bae11e52fce0b83:0x39a514e45d84cf3b!8m2!3d12.9752082!4d77.7265453!16s%2Fg%2F11b7vxb0t9!19sChIJgwvOL-URrjsRO8-EXeQUpTk?authuser=0&hl=en&rclk=1,08861778187,"No. 104, Ground Floor, Prestige Omega, Vijayanagar, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066 ","['sales@arteriatech.com', 'sivaji.kanuri@arteriatech.com']"
