Company,Address,Map Link,Linkedin
Haryana Chemical Industries,https://www.google.com/maps/place/Haryana+Chemical+Industries/data=!4m7!3m6!1s0x390d0faa87344791:0x99198b2ecb8e7f79!8m2!3d28.6871978!4d76.9563175!16s%2Fg%2F11gjtxlm3z!19sChIJkUc0h6oPDTkReX-Oyy6LGZk?authuser=0&hl=en&rclk=1,"1237, MIE, MIE Part-B, Bahadurgarh, Haryana 124507 ",Could not render
Haryana Chemical Industries (India),https://www.google.com/maps/place/Haryana+Chemical+Industries+%28India%29/data=!4m7!3m6!1s0x390d03ee882dd335:0x79b04cafa9d222a2!8m2!3d28.6982775!4d77.1160069!16s%2Fg%2F1tj2g84k!19sChIJNdMtiO4DDTkRoiLSqa9MsHk?authuser=0&hl=en&rclk=1,"Ring Road Mall, 430, Sector 3, Rohini, Delhi, 110085 ",Could not render
"Spring Fields Industries– |Chemicals (Bleaching, Lime, Hypo, Formaldehyde,TCCA etc.) | Particle Board | Saw Dust","https://www.google.com/maps/place/Spring+Fields+Industries%E2%80%93+%7CChemicals+%28Bleaching,+Lime,+Hypo,+Formaldehyde,TCCA+etc.%29+%7C+Particle+Board+%7C+Saw+Dust/data=!4m7!3m6!1s0x391233d8fd70dfd9:0x2f787ca7bbfcde5f!8m2!3d29.1296623!4d75.765856!16s%2Fg%2F11h18lxdw9!19sChIJ2d9w_dgzEjkRX978u6d8eC8?authuser=0&hl=en&rclk=1","17,18 Industrial Development Colony, near Jindal flyover, Industrial Area, Hisar, Haryana 125005 ",https://www.linkedin.com/company/springfield-industries
Haryana Leather Chemicals Ltd.,https://www.google.com/maps/place/Haryana+Leather+Chemicals+Ltd./data=!4m7!3m6!1s0x391204fd5b340fc7:0xfb8b5404f1c6eda7!8m2!3d29.3172956!4d76.2945656!16s%2Fg%2F1tcyq6rn!19sChIJxw80W_0EEjkRp-3G8QRUi_s?authuser=0&hl=en&rclk=1,"HSIIDC, 72-77, Hansi Rd, Industrial Estate, Jind, Haryana 126102 ",https://in.linkedin.com/company/haryana-leather-chemicals-ltd---india
Shivani chemical industries,https://www.google.com/maps/place/Shivani+chemical+industries/data=!4m7!3m6!1s0x390d51ee346b07e3:0x471350ab6843be36!8m2!3d28.1809059!4d76.59948!16s%2Fg%2F11rpdg4r95!19sChIJ4wdrNO5RDTkRNr5DaKtQE0c?authuser=0&hl=en&rclk=1,"P129, Bharawas Rd, Parshuram Colony, Rewari, Haryana 123401 ",https://in.linkedin.com/company/shivanichemical
Bharat Chemical Industries,https://www.google.com/maps/place/Bharat+Chemical+Industries/data=!4m7!3m6!1s0x390d8712e22273b7:0xab162c0fc010b25a!8m2!3d28.8970702!4d76.5461113!16s%2Fg%2F11h247hxm8!19sChIJt3Mi4hKHDTkRWrIQwA8sFqs?authuser=0&hl=en&rclk=1,"Plot No. 25, IDC, Rohtak - Hansi - Hisar Rd, Rohtak, Haryana 124001 ",https://in.linkedin.com/company/bharat-chemical-india
Shakun Industries,https://www.google.com/maps/place/Shakun+Industries/data=!4m7!3m6!1s0x390cfb764b1d76c3:0xb3537c4335d77a7b!8m2!3d28.5206612!4d76.7482552!16s%2Fg%2F11c0pzy6n3!19sChIJw3YdS3b7DDkRe3rXNUN8U7M?authuser=0&hl=en&rclk=1,"Sector-3, Reliance, P-09, Street-12, Model Economic Township (MET), Dadri Toye, Haryana 124103 ",https://in.linkedin.com/company/shakunofficial
Mahadev Dyes & Chemicals,https://www.google.com/maps/place/Mahadev+Dyes+%26+Chemicals/data=!4m7!3m6!1s0x390d0f7c5b26e3e3:0xedefd31aff9462b8!8m2!3d28.6814962!4d76.9517706!16s%2Fg%2F11np23brd5!19sChIJ4-MmW3wPDTkRuGKU_xrT7-0?authuser=0&hl=en&rclk=1,"1948, 1961, PART-B, MIE, Bahadurgarh, Haryana 124507 ",Could not render
NIKITA INDUSTRIES PVT. LTD.,https://www.google.com/maps/place/NIKITA+INDUSTRIES+PVT.+LTD./data=!4m7!3m6!1s0x390da65979a9dc01:0x7652b93bb1f10e60!8m2!3d28.9769669!4d77.0201831!16s%2Fg%2F11f130r87_!19sChIJAdypeVmmDTkRYA7xsTu5UnY?authuser=0&hl=en&rclk=1,"59/20, Saidpur, Industrial Area, Sonipat, Haryana 131001 ",https://in.linkedin.com/company/nikita-industries-private-limited
SINCERE CHEMICALS CLUB,https://www.google.com/maps/place/SINCERE+CHEMICALS+CLUB/data=!4m7!3m6!1s0x390d172d72cbf1cd:0x9c31cb2e4b6f5ea1!8m2!3d28.4592495!4d76.990667!16s%2Fg%2F11l5px_wnj!19sChIJzfHLci0XDTkRoV5vSy7LMZw?authuser=0&hl=en&rclk=1,"PLOT NO.4, CHOWK, near BHARAT GAS AGENCY, Basai Village, Sector 9, Gurugram, Haryana 122006 ",https://www.linkedin.com/posts/shrey-kariya-805a82250_hello-linkedin-fam-im-excited-to-share-activity-7180840183888502786-jeKx
