Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
Satyagraha College of Arts Commerce and Science Khaghar,"Shop No 7 & 8, Tharwani Heritage, Plot No 24, Sector 7, Kharghar, Navi Mumbai, Maharashtra 410210 ",09821304515,https://www.google.com/maps/place/Satyagraha+College+of+Arts+Commerce+and+Science+Khaghar/data=!4m7!3m6!1s0x3be7c35706cf36a7:0x6ff5a88386da6898!8m2!3d19.0342511!4d73.0677845!16s%2Fg%2F11fn0l9dv0!19sChIJpzbPBlfD5zsRmGjahoOo9W8?authuser=0&hl=en&rclk=1,https://satyagrahcollege.com/,"['satyagrahacollege@yahoo.com', 'satyagrahacoledu@gmail.com', 'lokvikassr2003@gmail.com']",https://in.linkedin.com/in/satyagraha-education-192ab62b9
"Saraswati College of Engineering, Kharghar","Plot No. 46, near MSEB Sub Station, Sector-5, Kharghar, Navi Mumbai, Maharashtra 410210 ",09320299474,"https://www.google.com/maps/place/Saraswati+College+of+Engineering,+Kharghar/data=!4m7!3m6!1s0x3be7c23c0d76935f:0xdc48e289b198623a!8m2!3d19.0403902!4d73.059923!16s%2Fg%2F1tfslg04!19sChIJX5N2DTzC5zsROmKYsYniSNw?authuser=0&hl=en&rclk=1",https://engineering.saraswatikharghar.edu.in/,"['Registrar: registrarsaraswati@gmail.com', 'registrarsaraswati@gmail.com', 'maahi.khemchandani@it.sce.edu.in', '']",https://in.linkedin.com/school/scoekharghar/
Ramsheth Thakur College of Commerce & Science,"Sector-33, Plot No.1, उत्सव चौक - CISF मार्ग, Kharghar, Navi Mumbai, Maharashtra 410210 ",07303601555,https://www.google.com/maps/place/Ramsheth+Thakur+College+of+Commerce+%26+Science/data=!4m7!3m6!1s0x3be7c1f982587d31:0xad25d8c64e82b4dc!8m2!3d19.0633148!4d73.0786021!16s%2Fg%2F11c0rnqjgt!19sChIJMX1YgvnB5zsR3LSCTsbYJa0?authuser=0&hl=en&rclk=1,http://rtccs.edu.in/,[],https://rtccs.edu.in/
ITM Business School - MBA College in Kharghar Navi Mumbai,"Plot 25 & 26, Institutional Area, Sector 4, Kharghar, Navi Mumbai, Maharashtra 410210 ",07738694008,https://www.google.com/maps/place/ITM+Business+School+-+MBA+College+in+Kharghar+Navi+Mumbai/data=!4m7!3m6!1s0x3a5267b4c0000001:0xfec67ed69ce7b711!8m2!3d19.0332714!4d73.0639922!16s%2Fg%2F1tksg6j_!19sChIJAQAAwLRnUjoREbfnnNZ-xv4?authuser=0&hl=en&rclk=1,https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ0RdnT2e46EmqYgncgN2I5-EOhBYaoH3aqpWvBoXsDUioyLiYwcGQOxIlAhMDXfS6WVcBwGH5Bu,"['charanjeetk@itm.edu', 'akshays@itm.edu', 'kiranr@itm.edu', 'admissions@isu.ac.in', 'sonamg@itm.edu']",https://in.linkedin.com/company/itm-business-school-kharghar
Ramsheth Thakur Higher Secondary Vidyalaya Kharghar,"Plot no.1, Pethapada, Sector 33, Kharghar, Navi Mumbai, Maharashtra 410210 ",08591889257,https://www.google.com/maps/place/Ramsheth+Thakur+Higher+Secondary+Vidyalaya+Kharghar/data=!4m7!3m6!1s0x3be7c17c9e7d5339:0x19c0596fc2ffe30c!8m2!3d19.063421!4d73.0786104!16s%2Fg%2F11t5nbq3ts!19sChIJOVN9nnzB5zsRDOP_wm9ZwBk?authuser=0&hl=en&rclk=1,http://www.rthsv.com/,['info@rtpsk.tk'],https://in.linkedin.com/company/ramsheth-thakur-public-school-kharghar
Bunts College of Higher Education -Night College,"Near, Bunts Center, Sector 24, Off. Gaondevi Chowk, Juinagar (W, Petrol Pump Rd, Navi Mumbai, Maharashtra 400706 ",02227703156,https://www.google.com/maps/place/Bunts+College+of+Higher+Education+-Night+College/data=!4m7!3m6!1s0x3be7c385e781fadf:0x43cbdab8eaffbd6!8m2!3d19.0500887!4d73.0178489!16s%2Fg%2F11js2tmq6m!19sChIJ3_qB54XD5zsR1vuvjqu9PAQ?authuser=0&hl=en&rclk=1,https://bbanightcollege.com/,"['bba.bche@gmail.com', 'bombaybuntsassociation@gmail.com', 'email ID: buntsadmission@gmail.com', 'homhavhunteassociation@gmail.com']",https://in.linkedin.com/school/banwarilal-bhalotia-college/
A. C. Patil College of Engineering,"23J6+6JC, Sector 4, Kharghar, Navi Mumbai, Maharashtra 410210 ",02227745722,https://www.google.com/maps/place/A.+C.+Patil+College+of+Engineering/data=!4m7!3m6!1s0x3be7c24052e100f3:0xb6e3e4259b43a898!8m2!3d19.030557!4d73.061528!16s%2Fm%2F0cp3kqb!19sChIJ8wDhUkDC5zsRmKhDmyXk47Y?authuser=0&hl=en&rclk=1,http://www.acpce.org/,"['tpo@acpce.ac.in', 'acpcejobs@acpce.ac.in', 'principal@prpotepatilengg.ac.in']",https://in.linkedin.com/school/acpce/
K.P.C College of science and commerce,"12, Vastu Vihar, Sector 16, Kharghar, Navi Mumbai, Maharashtra 410210 ",08448271862,https://www.google.com/maps/place/K.P.C+College+of+science+and+commerce/data=!4m7!3m6!1s0x3be7c30796eedde7:0xca81e65d3d3ee598!8m2!3d19.0423056!4d73.0821466!16s%2Fg%2F11jgj_2dl9!19sChIJ593ulgfD5zsRmOU-PV3mgco?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['school@kpcedu.in', 'info@kpcoll.ac.in', 'inquiry@kpcmedicalcollege.com']",https://in.linkedin.com/company/kpc-medical-college-&-hospital-the-kpc-group
YMT Ayurvedic Medical College & Hospital. P.G.Institute,"23J7+929, Sector 4, Kharghar, Navi Mumbai, Maharashtra 410210 ",02227744406,https://www.google.com/maps/place/YMT+Ayurvedic+Medical+College+%26+Hospital.+P.G.Institute/data=!4m7!3m6!1s0x3be7c2404ea5525b:0xd3ca02ae74dd5796!8m2!3d19.0309053!4d73.0626195!16s%2Fg%2F1tgwl4h1!19sChIJW1KlTkDC5zsRllfddK4CytM?authuser=0&hl=en&rclk=1,http://www.ymtayurvedcollege.org/,[],https://www.ymtayurvedcollege.org/
SVKM's NMIMS,"Plot No. 2, near Pethpada Metro Station, Pethapada, Sector 33, Kharghar, Navi Mumbai, Maharashtra 410210 ",02235476550,https://www.google.com/maps/place/SVKM%27s+NMIMS/data=!4m7!3m6!1s0x3be7c1fa2d330e2b:0xfb8df77eb24acba7!8m2!3d19.0646147!4d73.077738!16s%2Fg%2F11f3scz5p3!19sChIJKw4zLfrB5zsRp8tKsn73jfs?authuser=0&hl=en&rclk=1,https://navimumbai.nmims.edu/why-us/,"['enquiry@nmims.edu', 'Gautami.Mehrotra@nmims.edu', 'Why @ NMIMS', 'adhikary.avas02@nmims.edu.in']",https://in.linkedin.com/school/nmims-navi-mumbai/
