Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
Eiosys Private Limited,"S35, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400705 ",09920977236,https://www.google.com/maps/place/Eiosys+Private+Limited/data=!4m7!3m6!1s0x3be7c14e67477781:0xc34f370bd1aa33a3!8m2!3d19.0658439!4d73.002783!16s%2Fg%2F11r92rtsb!19sChIJgXdHZ07B5zsRozOq0Qs3T8M?authuser=0&hl=en&rclk=1,https://www.eiosys.com/,"['sales@eiosys.com', 'saurabh.amishra@gmail.com', ""first '.' last@eiosys.com""]","([<seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.FBB859F46829D8228EADF50D6A3D50EB.d.DF4D93DE3BA5DC0B0852096F8F7FB637.e.15"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.FBB859F46829D8228EADF50D6A3D50EB.d.DF4D93DE3BA5DC0B0852096F8F7FB637.e.16"")>],)"
"Maxgen Technologies Pvt Ltd | Web Development , Mobile App Development ,Ai Company in Mumbai","1507, Ambience Court, Phase 2, Sector 19D, Vashi, Navi Mumbai, Maharashtra 400703 ",09099039845,"https://www.google.com/maps/place/Maxgen+Technologies+Pvt+Ltd+%7C+Web+Development+,+Mobile+App+Development+,Ai+Company+in+Mumbai/data=!4m7!3m6!1s0x3be7c124c1555555:0xc332ca795af0e1b2!8m2!3d19.0859073!4d73.0091185!16s%2Fg%2F11csq_9n06!19sChIJVVVVwSTB5zsRsuHwWnnKMsM?authuser=0&hl=en&rclk=1",http://www.maxgentechnologies.com/,"['Head Office · pune@maxgentechnologies.com', 'komal@maxgentechnology.com', 'support@tofler.in', 'first@maxgentechnology.com']","([<seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.2D0EF46C514B35C1053BC8942785B333.d.1426009B1B46663BB0169BE006AC5EB6.e.36"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.2D0EF46C514B35C1053BC8942785B333.d.1426009B1B46663BB0169BE006AC5EB6.e.37"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.2D0EF46C514B35C1053BC8942785B333.d.1426009B1B46663BB0169BE006AC5EB6.e.38"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.2D0EF46C514B35C1053BC8942785B333.d.1426009B1B46663BB0169BE006AC5EB6.e.39"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.2D0EF46C514B35C1053BC8942785B333.d.1426009B1B46663BB0169BE006AC5EB6.e.40"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.2D0EF46C514B35C1053BC8942785B333.d.1426009B1B46663BB0169BE006AC5EB6.e.41"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.2D0EF46C514B35C1053BC8942785B333.d.1426009B1B46663BB0169BE006AC5EB6.e.42"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.2D0EF46C514B35C1053BC8942785B333.d.1426009B1B46663BB0169BE006AC5EB6.e.43"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.2D0EF46C514B35C1053BC8942785B333.d.1426009B1B46663BB0169BE006AC5EB6.e.44"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.2D0EF46C514B35C1053BC8942785B333.d.1426009B1B46663BB0169BE006AC5EB6.e.45"")>],)"
CHILLYDIGITAL SOLUTIONS PVT LTD,"Haware Fantasia Business Park, S 197, Plot No. 47, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400705 ",09044443160,https://www.google.com/maps/place/CHILLYDIGITAL+SOLUTIONS+PVT+LTD/data=!4m7!3m6!1s0x3be7c17045ebaec9:0x608e9369bb0801b2!8m2!3d19.0655257!4d73.0022309!16s%2Fg%2F11f9f1g48f!19sChIJya7rRXDB5zsRsgEIu2mTjmA?authuser=0&hl=en&rclk=1,http://www.chillydigital.com/,"['info@chillydigital.com', 'Balmukund@chillydigital.com', 'Email: info@chillydigital.com']","([<seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.9AA9AFBB8EF547A96AB820B849468C09.d.84BA8F3AA4F99E192F10E32A700ECF0A.e.61"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.9AA9AFBB8EF547A96AB820B849468C09.d.84BA8F3AA4F99E192F10E32A700ECF0A.e.62"")>],)"
Limra Technosys Pvt Ltd,"602, Platinum Techno Park, Bhagwan Mahaveer Rd, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703 ",09321883486,https://www.google.com/maps/place/Limra+Technosys+Pvt+Ltd/data=!4m7!3m6!1s0x3be7c139ed36f4f9:0x4788e726ed5a3f8!8m2!3d19.0652357!4d72.9957417!16s%2Fg%2F11fkp31nf1!19sChIJ-fQ27TnB5zsR-KPVbnKOeAQ?authuser=0&hl=en&rclk=1,https://www.limratechnosys.com/,"['first@limratechnosys.com', 'mihir@limratechnosys.com', 'irshad@limratechnosys.com', 'Email ID: *****@limratechnosys.com', 'info@limratechnosys.com']","([<seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.EFF5F2840607D06709ABDDC2FA136E9D.d.C25369345F2C6CE6FA405A320C973F24.e.83"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.EFF5F2840607D06709ABDDC2FA136E9D.d.C25369345F2C6CE6FA405A320C973F24.e.84"")>],)"
Sysmarche Infotech - Mobile App Development Company,"2nd Floor, Haware Fantasia Business Park, S153, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703 ",08652362400,https://www.google.com/maps/place/Sysmarche+Infotech+-+Mobile+App+Development+Company/data=!4m7!3m6!1s0x3be7cf55221ea79b:0xf38c58a598fee331!8m2!3d19.0654093!4d73.0024231!16s%2Fg%2F11gkyztl86!19sChIJm6ceIlXP5zsRMeP-mKVYjPM?authuser=0&hl=en&rclk=1,https://sysmarche.com/,['sysmarcheinfotech@gmail.com'],"([<seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.380F7BB755B1B953700176BF2FF845E9.d.A77729325CB6C68398876B1407FE1ACD.e.101"")>],)"
Aimbeat Technology Pvt Ltd,"Haware Infotech Park, Four Points Hotel, 1906, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703 ",09699925003,https://www.google.com/maps/place/Aimbeat+Technology+Pvt+Ltd/data=!4m7!3m6!1s0x3be7c14de7000011:0xd2f7ab98747fcb22!8m2!3d19.0657434!4d72.9993002!16s%2Fg%2F11ggs8t2tt!19sChIJEQAA503B5zsRIst_dJir99I?authuser=0&hl=en&rclk=1,https://aimbeatsoftech.com/,"['support@aimbeatsoftech.com', 'info@aimbeatsoftech.com']","([<seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.007B48F0497C3989BC2B8F1C026AF71B.d.0AF72A8B0767100C11631AADCF7475CB.e.122"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.007B48F0497C3989BC2B8F1C026AF71B.d.0AF72A8B0767100C11631AADCF7475CB.e.123"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.007B48F0497C3989BC2B8F1C026AF71B.d.0AF72A8B0767100C11631AADCF7475CB.e.124"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.007B48F0497C3989BC2B8F1C026AF71B.d.0AF72A8B0767100C11631AADCF7475CB.e.125"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.007B48F0497C3989BC2B8F1C026AF71B.d.0AF72A8B0767100C11631AADCF7475CB.e.126"")>],)"
RUGR SIL PVT.LTD.,"Plot No 41/13, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703 ",02241561111,https://www.google.com/maps/place/RUGR+SIL+PVT.LTD./data=!4m7!3m6!1s0x3be7b93eb6a31f5b:0x66aa7220172902c4!8m2!3d19.0670388!4d73.0063862!16s%2Fg%2F11b6hq4hfx!19sChIJWx-jtj655zsRxAIpFyByqmY?authuser=0&hl=en&rclk=1,http://www.sil.co.in/,"['Email: *****@sil.co.in', 'Email : *****tta.chandgadkar@sil.co.in']","([<seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.F6042B262953B40451EC4FE55757A869.d.D7F224827C1B85CB33FEBFBB367A0C38.e.147"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.F6042B262953B40451EC4FE55757A869.d.D7F224827C1B85CB33FEBFBB367A0C38.e.148"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.F6042B262953B40451EC4FE55757A869.d.D7F224827C1B85CB33FEBFBB367A0C38.e.149"")>],)"
Grexa AI Private Limited,"BSEL Tech Park, B 906, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703 ",08433662884,https://www.google.com/maps/place/Grexa+AI+Private+Limited/data=!4m7!3m6!1s0x3be7c15b209f8a51:0xa05586204e7bb42!8m2!3d19.0647291!4d72.9996651!16s%2Fg%2F11vzf5hnm6!19sChIJUYqfIFvB5zsRQrvnBGJYBQo?authuser=0&hl=en&rclk=1,https://grexa.ai/book-free-demo,"['hello@grexa.ai', 'support@grexa.ai', 'contact@ipoplatform.com']","([<seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.7E1A813030126D6F3E9348153ACD99FB.d.FCE89F804709600D12118BEFDAE00FB2.e.173"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.7E1A813030126D6F3E9348153ACD99FB.d.FCE89F804709600D12118BEFDAE00FB2.e.174"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.7E1A813030126D6F3E9348153ACD99FB.d.FCE89F804709600D12118BEFDAE00FB2.e.175"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.7E1A813030126D6F3E9348153ACD99FB.d.FCE89F804709600D12118BEFDAE00FB2.e.176"")>],)"
ScrapeNext Technologies,"706, Plot No. 86, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703 ",Not present on google business profiles,https://www.google.com/maps/place/ScrapeNext+Technologies/data=!4m7!3m6!1s0x3be7c7a240068127:0x3a4c5a74655ee91!8m2!3d19.0690305!4d73.0007235!16s%2Fg%2F11h3fs302z!19sChIJJ4EGQKLH5zsRke5VRqfFpAM?authuser=0&hl=en&rclk=1,https://scrapenext.com/,"['info@scrapenext.com', 'sauravgopinathpanda@gmail.com']","([<seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.9F811AB5C9687251E904245ED6DAF41F.d.958997C5871EBCC2F33F2ACDBAAB16EA.e.190"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.9F811AB5C9687251E904245ED6DAF41F.d.958997C5871EBCC2F33F2ACDBAAB16EA.e.191"")>],)"
Imigious Technologies,"2nd Floor, Infotech Park, C-208, above Vashi Railway Station, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703 ",07827158105,https://www.google.com/maps/place/Imigious+Technologies/data=!4m7!3m6!1s0x3be7c14de6ffffff:0xb93994fee1a7d1ad!8m2!3d19.0633087!4d72.9986478!16s%2Fg%2F11rvhlmt8d!19sChIJ____5k3B5zsRrdGn4f6UObk?authuser=0&hl=en&rclk=1,http://imigioustech.com/,"['support@imigioustech.com', 'abhishek.modi@imigioustech.com', 'Email: abhishek.modi@imigioustech.com']","([<seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.FA89901BAF3200CCCC5143BAC66B19B3.d.474DAC0ED34A10E94B76670E83642A95.e.206"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.FA89901BAF3200CCCC5143BAC66B19B3.d.474DAC0ED34A10E94B76670E83642A95.e.207"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.FA89901BAF3200CCCC5143BAC66B19B3.d.474DAC0ED34A10E94B76670E83642A95.e.208"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.FA89901BAF3200CCCC5143BAC66B19B3.d.474DAC0ED34A10E94B76670E83642A95.e.209"")>, <seleniumbase.undetected.webelement.WebElement (session=""fbc828e5ef3c81ecf5b7fe0973e343c9"", element=""f.FA89901BAF3200CCCC5143BAC66B19B3.d.474DAC0ED34A10E94B76670E83642A95.e.210"")>],)"
