Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
Eiosys Private Limited,"S35, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400705 ",09920977236,https://www.google.com/maps/place/Eiosys+Private+Limited/data=!4m7!3m6!1s0x3be7c14e67477781:0xc34f370bd1aa33a3!8m2!3d19.0658439!4d73.002783!16s%2Fg%2F11r92rtsb!19sChIJgXdHZ07B5zsRozOq0Qs3T8M?authuser=0&hl=en&rclk=1,https://www.eiosys.com/,"['sales@eiosys.com', 'saurabh.amishra@gmail.com', ""first '.' last@eiosys.com""]","([<seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.FA7761A1FA627D7E4B99CADA575D626F.d.4FEF4F874882F93C2A22E6E71925D520.e.13"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.FA7761A1FA627D7E4B99CADA575D626F.d.4FEF4F874882F93C2A22E6E71925D520.e.14"")>],)"
"Maxgen Technologies Pvt Ltd | Web Development , Mobile App Development ,Ai Company in Mumbai","1507, Ambience Court, Phase 2, Sector 19D, Vashi, Navi Mumbai, Maharashtra 400703 ",09099039845,"https://www.google.com/maps/place/Maxgen+Technologies+Pvt+Ltd+%7C+Web+Development+,+Mobile+App+Development+,Ai+Company+in+Mumbai/data=!4m7!3m6!1s0x3be7c124c1555555:0xc332ca795af0e1b2!8m2!3d19.0859073!4d73.0091185!16s%2Fg%2F11csq_9n06!19sChIJVVVVwSTB5zsRsuHwWnnKMsM?authuser=0&hl=en&rclk=1",http://www.maxgentechnologies.com/,"['Head Office · pune@maxgentechnologies.com', 'komal@maxgentechnology.com', 'support@tofler.in', 'first@maxgentechnology.com']","([<seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.C49EE5A6C43AEEC39EC1379CAF153357.d.D6E6E31C02286D9F3901B97973C7E31A.e.34"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.C49EE5A6C43AEEC39EC1379CAF153357.d.D6E6E31C02286D9F3901B97973C7E31A.e.35"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.C49EE5A6C43AEEC39EC1379CAF153357.d.D6E6E31C02286D9F3901B97973C7E31A.e.36"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.C49EE5A6C43AEEC39EC1379CAF153357.d.D6E6E31C02286D9F3901B97973C7E31A.e.37"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.C49EE5A6C43AEEC39EC1379CAF153357.d.D6E6E31C02286D9F3901B97973C7E31A.e.38"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.C49EE5A6C43AEEC39EC1379CAF153357.d.D6E6E31C02286D9F3901B97973C7E31A.e.39"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.C49EE5A6C43AEEC39EC1379CAF153357.d.D6E6E31C02286D9F3901B97973C7E31A.e.40"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.C49EE5A6C43AEEC39EC1379CAF153357.d.D6E6E31C02286D9F3901B97973C7E31A.e.41"")>],)"
CHILLYDIGITAL SOLUTIONS PVT LTD,"Haware Fantasia Business Park, S 197, Plot No. 47, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400705 ",09044443160,https://www.google.com/maps/place/CHILLYDIGITAL+SOLUTIONS+PVT+LTD/data=!4m7!3m6!1s0x3be7c17045ebaec9:0x608e9369bb0801b2!8m2!3d19.0655257!4d73.0022309!16s%2Fg%2F11f9f1g48f!19sChIJya7rRXDB5zsRsgEIu2mTjmA?authuser=0&hl=en&rclk=1,http://www.chillydigital.com/,"['info@chillydigital.com', 'Balmukund@chillydigital.com', 'Email: info@chillydigital.com']","([<seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.F86A26773FFCD187DEA1BC2EACE9353B.d.0DA85E0598C27BF9BB61BEEC50B3DC15.e.56"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.F86A26773FFCD187DEA1BC2EACE9353B.d.0DA85E0598C27BF9BB61BEEC50B3DC15.e.57"")>],)"
Limra Technosys Pvt Ltd,"602, Platinum Techno Park, Bhagwan Mahaveer Rd, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703 ",09321883486,https://www.google.com/maps/place/Limra+Technosys+Pvt+Ltd/data=!4m7!3m6!1s0x3be7c139ed36f4f9:0x4788e726ed5a3f8!8m2!3d19.0652357!4d72.9957417!16s%2Fg%2F11fkp31nf1!19sChIJ-fQ27TnB5zsR-KPVbnKOeAQ?authuser=0&hl=en&rclk=1,https://www.limratechnosys.com/,"['first@limratechnosys.com', 'mihir@limratechnosys.com', 'irshad@limratechnosys.com', 'Email ID: *****@limratechnosys.com', 'info@limratechnosys.com']","([<seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.645D9FCE896F4210EA4769B023365993.d.A85523DB37AF1F427C357FEFF1A3C6E3.e.73"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.645D9FCE896F4210EA4769B023365993.d.A85523DB37AF1F427C357FEFF1A3C6E3.e.74"")>],)"
Sysmarche Infotech - Mobile App Development Company,"2nd Floor, Haware Fantasia Business Park, S153, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703 ",08652362400,https://www.google.com/maps/place/Sysmarche+Infotech+-+Mobile+App+Development+Company/data=!4m7!3m6!1s0x3be7cf55221ea79b:0xf38c58a598fee331!8m2!3d19.0654093!4d73.0024231!16s%2Fg%2F11gkyztl86!19sChIJm6ceIlXP5zsRMeP-mKVYjPM?authuser=0&hl=en&rclk=1,https://sysmarche.com/,['sysmarcheinfotech@gmail.com'],"([<seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.1F288B19E05D2F509FFB3D4BE17FD9C6.d.AE0E48DD02C0D0E7DDE5CC266CB4DF03.e.89"")>],)"
Aimbeat Technology Pvt Ltd,"Haware Infotech Park, Four Points Hotel, 1906, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703 ",09699925003,https://www.google.com/maps/place/Aimbeat+Technology+Pvt+Ltd/data=!4m7!3m6!1s0x3be7c14de7000011:0xd2f7ab98747fcb22!8m2!3d19.0657434!4d72.9993002!16s%2Fg%2F11ggs8t2tt!19sChIJEQAA503B5zsRIst_dJir99I?authuser=0&hl=en&rclk=1,https://aimbeatsoftech.com/,"['support@aimbeatsoftech.com', 'info@aimbeatsoftech.com']","([<seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.D0F084185A59A931C3F39A9492D4944B.d.1EE3306E32CB437B1F30260C3F96E5F8.e.107"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.D0F084185A59A931C3F39A9492D4944B.d.1EE3306E32CB437B1F30260C3F96E5F8.e.108"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.D0F084185A59A931C3F39A9492D4944B.d.1EE3306E32CB437B1F30260C3F96E5F8.e.109"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.D0F084185A59A931C3F39A9492D4944B.d.1EE3306E32CB437B1F30260C3F96E5F8.e.110"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.D0F084185A59A931C3F39A9492D4944B.d.1EE3306E32CB437B1F30260C3F96E5F8.e.111"")>],)"
Grexa AI Private Limited,"BSEL Tech Park, B 906, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703 ",08433662884,https://www.google.com/maps/place/Grexa+AI+Private+Limited/data=!4m7!3m6!1s0x3be7c15b209f8a51:0xa05586204e7bb42!8m2!3d19.0647291!4d72.9996651!16s%2Fg%2F11vzf5hnm6!19sChIJUYqfIFvB5zsRQrvnBGJYBQo?authuser=0&hl=en&rclk=1,https://grexa.ai/book-free-demo,"['hello@grexa.ai', 'support@grexa.ai', 'contact@ipoplatform.com']","([<seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.B21CF0CD80709AA5305BB8DB426267FA.d.FDEC9D55CB7280E9A844787DCA8AC3AD.e.137"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.B21CF0CD80709AA5305BB8DB426267FA.d.FDEC9D55CB7280E9A844787DCA8AC3AD.e.138"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.B21CF0CD80709AA5305BB8DB426267FA.d.FDEC9D55CB7280E9A844787DCA8AC3AD.e.139"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.B21CF0CD80709AA5305BB8DB426267FA.d.FDEC9D55CB7280E9A844787DCA8AC3AD.e.140"")>],)"
RUGR SIL PVT.LTD.,"Plot No 41/13, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703 ",02241561111,https://www.google.com/maps/place/RUGR+SIL+PVT.LTD./data=!4m7!3m6!1s0x3be7b93eb6a31f5b:0x66aa7220172902c4!8m2!3d19.0670388!4d73.0063862!16s%2Fg%2F11b6hq4hfx!19sChIJWx-jtj655zsRxAIpFyByqmY?authuser=0&hl=en&rclk=1,http://www.sil.co.in/,"['Email: *****@sil.co.in', 'Email : *****tta.chandgadkar@sil.co.in']","([<seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.F9E33AF7074EE7D858B688AB140BB748.d.0ECC3FBA90E8F27413764283419D8341.e.154"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.F9E33AF7074EE7D858B688AB140BB748.d.0ECC3FBA90E8F27413764283419D8341.e.155"")>],)"
Imigious Technologies,"2nd Floor, Infotech Park, C-208, above Vashi Railway Station, Sector 30, Vashi, Navi Mumbai, Maharashtra 400703 ",07827158105,https://www.google.com/maps/place/Imigious+Technologies/data=!4m7!3m6!1s0x3be7c14de6ffffff:0xb93994fee1a7d1ad!8m2!3d19.0633087!4d72.9986478!16s%2Fg%2F11rvhlmt8d!19sChIJ____5k3B5zsRrdGn4f6UObk?authuser=0&hl=en&rclk=1,http://imigioustech.com/,"['support@imigioustech.com', 'abhishek.modi@imigioustech.com', 'Email: abhishek.modi@imigioustech.com']","([<seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.5AF365FE549F41AD17DEDCA838395B3D.d.416C8FE1615BB2B9D92FB4589AC9B5F3.e.184"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.5AF365FE549F41AD17DEDCA838395B3D.d.416C8FE1615BB2B9D92FB4589AC9B5F3.e.185"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.5AF365FE549F41AD17DEDCA838395B3D.d.416C8FE1615BB2B9D92FB4589AC9B5F3.e.186"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.5AF365FE549F41AD17DEDCA838395B3D.d.416C8FE1615BB2B9D92FB4589AC9B5F3.e.187"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.5AF365FE549F41AD17DEDCA838395B3D.d.416C8FE1615BB2B9D92FB4589AC9B5F3.e.188"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.5AF365FE549F41AD17DEDCA838395B3D.d.416C8FE1615BB2B9D92FB4589AC9B5F3.e.189"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.5AF365FE549F41AD17DEDCA838395B3D.d.416C8FE1615BB2B9D92FB4589AC9B5F3.e.190"")>],)"
ScrapeNext Technologies,"706, Plot No. 86, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703 ",Not present on google business profiles,https://www.google.com/maps/place/ScrapeNext+Technologies/data=!4m7!3m6!1s0x3be7c7a240068127:0x3a4c5a74655ee91!8m2!3d19.0690305!4d73.0007235!16s%2Fg%2F11h3fs302z!19sChIJJ4EGQKLH5zsRke5VRqfFpAM?authuser=0&hl=en&rclk=1,https://scrapenext.com/,"['info@scrapenext.com', 'sauravgopinathpanda@gmail.com']","([<seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.8202EC54765549A9CDDED04406C97737.d.DBD80C228FBC8BF8A5C85E1A1F2D8CD5.e.202"")>, <seleniumbase.undetected.webelement.WebElement (session=""f926d3f798ef25985f41f62695bf84df"", element=""f.8202EC54765549A9CDDED04406C97737.d.DBD80C228FBC8BF8A5C85E1A1F2D8CD5.e.203"")>],)"
