Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
NK Realtors Private Limited,"9th Floor, Srijan Tech Park, DN-52, Street Number 18, DN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091 ",03340167700,https://www.google.com/maps/place/NK+Realtors+Private+Limited/data=!4m7!3m6!1s0x3a02773d0fa26ff7:0x517654863f78ecd3!8m2!3d22.5773403!4d88.4322859!16s%2Fg%2F11b8tx89rv!19sChIJ92-iDz13AjoR0-x4P4ZUdlE?authuser=0&hl=en&rclk=1,https://www.nkrealtors.com/,"['sales@nkrealtors.com', 'southwinds@primarc.in', 'ixxx@nkrealtors.com']",https://in.linkedin.com/company/nk-realtors
Somani Realtors Pvt Ltd,"2nd Floor, 40, Ashutosh Mukherjee Rd, near Netaji Bhawan, Bhowanipore, Kolkata, West Bengal 700020 ",09051740000,https://www.google.com/maps/place/Somani+Realtors+Pvt+Ltd/data=!4m7!3m6!1s0x3a02773e4463f1df:0xf0ca95da20e8323c!8m2!3d22.5342279!4d88.3458677!16s%2Fg%2F1pp2vbx9l!19sChIJ3_FjRD53AjoRPDLoINqVyvA?authuser=0&hl=en&rclk=1,https://appointments.somanirealtors.com/#/customer/consultation,"['sales@somanirealtors.com', 'somanirealtors@vsnl.net', 'accounts@somanirealtors.com']",https://in.linkedin.com/company/somanirealtors
Urbanzo Homes - Real Estate Development Company,"4 G.J.KHAN ROAD BLOCK-C AL-HAYAT APARTMENT, Kolkata, West Bengal 700039 ",09830749729,https://www.google.com/maps/place/Urbanzo+Homes+-+Real+Estate+Development+Company/data=!4m7!3m6!1s0x3a0277c83d0364df:0xc74bf93ec791f0ec!8m2!3d22.5367243!4d88.3908958!16s%2Fg%2F11hnxdxzxm!19sChIJ32QDPch3AjoR7PCRxz75S8c?authuser=0&hl=en&rclk=1,http://www.urbanzohomes.com/,"['info@urbanzohomes.com', 'shayanalam18@gmail.com', 'info.hiveconstruction@gmail.com', 'gsdeveloperpvtltd@gmail.com']",https://www.linkedin.com/directory/companies/u-38
Riddhi Realtors - Real Estate Agency Kolkata,Not present on google business profiles,08981138190,https://www.google.com/maps/place/Riddhi+Realtors+-+Real+Estate+Agency+Kolkata/data=!4m7!3m6!1s0xf34c67cf97cc93b:0x3506b89945dca725!8m2!3d22.3916348!4d88.3277241!16s%2Fg%2F11vctvl8fv!19sChIJO8l8-XzGNA8RJafcRZm4BjU?authuser=0&hl=en&rclk=1,https://riddhirealtors.com/,"['info@riddhirealtors.com', 'riddhirealtors1@gmail.com', 'rskjalgaon@yahoo.co.in', 'avinashbisani@gmail.com']",https://in.linkedin.com/company/riddhi-realty
Raghav Sen - Luxury Rent and Resale,"ground floor, 18 B, Lake View Rd, lake Terrace, Ballygunge, Kolkata, West Bengal 700029 ",09830043007,https://www.google.com/maps/place/Raghav+Sen+-+Luxury+Rent+and+Resale/data=!4m7!3m6!1s0x3a0277409231a057:0x2e6208318c023f8d!8m2!3d22.5163425!4d88.3555234!16s%2Fg%2F1tdwhy49!19sChIJV6AxkkB3AjoRjT8CjDEIYi4?authuser=0&hl=en&rclk=1,https://luxuryrentandresale.com/,"['raghavrealty@yahoo.com', 'kunalpropertyadvisor45@gmail.com', 'care@legaldesk.in.net']",https://in.linkedin.com/in/raghav-sen-55673277
Paramine Realtors Pvt Ltd. || Real Estate,"211, Ground Floor, Shantipally, Block BF-42, Kasba. Near Acropolis Mall, Kolkata, West Bengal 700039 ",08335840404,https://www.google.com/maps/place/Paramine+Realtors+Pvt+Ltd.+%7C%7C+Real+Estate/data=!4m7!3m6!1s0x3a0277dfedce3529:0x20dd8fa6ed696933!8m2!3d22.5225593!4d88.3801328!16s%2Fg%2F11qg96b72m!19sChIJKTXO7d93AjoRM2lp7aaP3SA?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['paraminerealtors@gmail.com', 'rajesh_tajmahal@rediffmail.com', 'ahmad.mashkoor@parinee.com', 'support@tofler.in']",https://in.linkedin.com/in/pratyush-rai-591a23291
JJ Properties | Real Estate Agency | Kolkata,"9th Floor, Suit Number : 912A, Merlin Infinite DN-51, Street Number 11, DN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091 ",09831671117,https://www.google.com/maps/place/JJ+Properties+%7C+Real+Estate+Agency+%7C+Kolkata/data=!4m7!3m6!1s0x3a0277e7470f1ec5:0x7cc499f8ff87d73b!8m2!3d22.5769482!4d88.4340212!16s%2Fg%2F11j2f_l6k0!19sChIJxR4PR-d3AjoRO9eH__iZxHw?authuser=0&hl=en&rclk=1,http://jjproperties.in/,"['sales@jjproperties.in', 'info@jj-properties.be', 'sales@jjproperty.com.au', 'ajanakievski@gmail.com']",https://in.linkedin.com/company/jjproperties
Sidus Realty Pvt Ltd,"room 222, 2nd floor, 21, Hemanta Basu Sarani, Lal Dighi, B.B.D. Bagh, Kolkata, West Bengal 700062 ",08240222529,https://www.google.com/maps/place/Sidus+Realty+Pvt+Ltd/data=!4m7!3m6!1s0x3a02771c59c0ec93:0x71a056f569a2eecb!8m2!3d22.5686391!4d88.3490487!16s%2Fg%2F11b826m0d6!19sChIJk-zAWRx3AjoRy-6iafVWoHE?authuser=0&hl=en&rclk=1,https://www.sidusrealty.in/,['sidusrealty@gmail.com'],https://in.linkedin.com/company/sidus-realty-private-limited
RENTKART KOLKATA (REAL ESTATE),"3/219, Vidyasagar Colony, Ganguly Bagan, Kolkata, West Bengal 700047 ",07980719300,https://www.google.com/maps/place/RENTKART+KOLKATA+%28REAL+ESTATE%29/data=!4m7!3m6!1s0x3a0271d8161be133:0x256fb98c480f5d0b!8m2!3d22.4810621!4d88.3697228!16s%2Fg%2F11s7p1z6z3!19sChIJM-EbFthxAjoRC10PSIy5byU?authuser=0&hl=en&rclk=1,https://rentkartkolkata.com/,[],https://in.linkedin.com/company/rentkart-india
Get My Properties,"4th floor, Unit no 4B, Get my properties, Gariahat Shopping complex, 153, Rash Behari Ave, beside Basanti Devi College, Gariahat, Kolkata, West Bengal 700029 ",09330519441,https://www.google.com/maps/place/Get+My+Properties/data=!4m7!3m6!1s0x3a020b004550ed33:0xfe878ef2c5f5d594!8m2!3d22.5194013!4d88.3628306!16s%2Fg%2F11y8f_9_h7!19sChIJM-1QRQALAjoRlNX1xfKOh_4?authuser=0&hl=en&rclk=1,http://www.getmyproperties.com/,"['help@getmyproperties.com', 'info@getmyhousing.com', 'kunalpropertyadvisor45@gmail.com']",https://pt.linkedin.com/company/getproperties
99 kolkata real estate company,"65, No 4 Mukundapur Colony, Dinesh Nagar, Mukundapur, Kolkata, West Bengal 700099 ",07059191482,https://www.google.com/maps/place/99+kolkata+real+estate+company/data=!4m7!3m6!1s0x3a027336d877da49:0x42e9eb8d878918f2!8m2!3d22.4891472!4d88.4037023!16s%2Fg%2F11vydydr3c!19sChIJSdp32DZzAjoR8hiJh43r6UI?authuser=0&hl=en&rclk=1,https://www.99kolkata.com/,"['info@99kolkata.com', 'cafe37kolkata@gmail.com', 'services@99acres.com']",https://in.linkedin.com/company/99realty
