Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
Temptation Realty inc,Not present on google business profiles,Not present on google business profiles,https://www.google.com/maps/place/Temptation+Realty+inc/data=!4m7!3m6!1s0x3bae15de11a3bb17:0xd8e89ffebdc401f2!8m2!3d12.9671979!4d77.6061979!16s%2Fg%2F11p5zkg_gb!19sChIJF7ujEd4VrjsR8gHEvf6f6Ng?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['info@temptationrealtyinc.com', 'info@temptationrealty.com', 'pheller@rpm-liberty.com']",https://in.linkedin.com/in/dileep-shetty-temptation-realty-inc-146a6752
Feroze estate agency - Furnished office space for rent in bangalore,"Reliance Digital, 74, 1st floor unit 1 Prestige feroze, Landmark, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560001 ",09845018800,https://www.google.com/maps/place/Feroze+estate+agency+-+Furnished+office+space+for+rent+in+bangalore/data=!4m7!3m6!1s0x3bae1669d1badb63:0x9078551333420d01!8m2!3d12.9887938!4d77.592863!16s%2Fg%2F1tjdpsh0!19sChIJY9u60WkWrjsRAQ1CMxNVeJA?authuser=0&hl=en&rclk=1,http://www.ferozes.com/,['reachus@ferozes.com'],https://au.linkedin.com/company/feroze's-estate-agency
Cityinfo Services Private Limited,"Ground Floor, Aurbis Concord, 10, Richmond Rd, Shanthala Nagar, Richmond Town, Bengaluru, Karnataka 560025 ",08044110000,https://www.google.com/maps/place/Cityinfo+Services+Private+Limited/data=!4m7!3m6!1s0x3bae15243237e90f:0x234577ca280e6678!8m2!3d12.9658957!4d77.6022188!16s%2Fg%2F11sy18677v!19sChIJD-k3MiQVrjsReGYOKMp3RSM?authuser=0&hl=en&rclk=1,https://cityinfoservices.com/,"['info@cityinfoservices.com', 'neeraj@cityinfoservices.com', 'ID – jacob@cityinfoservices.com', 'properties@cityinfoservices.com']",https://in.linkedin.com/company/cityinfo-services
Somani Realtors Pvt Ltd,"2nd Floor, 40, Ashutosh Mukherjee Rd, near Netaji Bhawan, Bhowanipore, Kolkata, West Bengal 700020 ",09051740000,https://www.google.com/maps/place/Somani+Realtors+Pvt+Ltd/data=!4m7!3m6!1s0x3a02773e4463f1df:0xf0ca95da20e8323c!8m2!3d22.5342279!4d88.3458677!16s%2Fg%2F1pp2vbx9l!19sChIJ3_FjRD53AjoRPDLoINqVyvA?authuser=0&hl=en&rclk=1,https://appointments.somanirealtors.com/#/customer/consultation,"['sales@somanirealtors.com', 'somanirealtors@vsnl.net', 'accounts@somanirealtors.com']",https://in.linkedin.com/company/somanirealtors
NK Realtors Private Limited,"9th Floor, Srijan Tech Park, DN-52, Street Number 18, DN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091 ",03340167700,https://www.google.com/maps/place/NK+Realtors+Private+Limited/data=!4m7!3m6!1s0x3a02773d0fa26ff7:0x517654863f78ecd3!8m2!3d22.5773403!4d88.4322859!16s%2Fg%2F11b8tx89rv!19sChIJ92-iDz13AjoR0-x4P4ZUdlE?authuser=0&hl=en&rclk=1,https://www.nkrealtors.com/,"['sales@nkrealtors.com', 'southwinds@primarc.in', 'ixxx@nkrealtors.com']",https://in.linkedin.com/company/nk-realtors
Novel Business Park,"57 13th Cross, Baldwins Road, Koramangala, Bengaluru, Karnataka 560030 ",09900007879,https://www.google.com/maps/place/Novel+Business+Park/data=!4m7!3m6!1s0x3bae14babbc5d4b1:0x1d7f5537acdafeda!8m2!3d12.9513357!4d77.6081739!16s%2Fg%2F1vnthb5c!19sChIJsdTFu7oUrjsR2v7arDdVfx0?authuser=0&hl=en&rclk=1,https://www.noveloffice.in/,['legal@noveloffice.in'],https://in.linkedin.com/company/novel-office-india
JJ Properties | Real Estate Agency | Kolkata,"9th Floor, Suit Number : 912A, Merlin Infinite DN-51, Street Number 11, DN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091 ",09831671117,https://www.google.com/maps/place/JJ+Properties+%7C+Real+Estate+Agency+%7C+Kolkata/data=!4m7!3m6!1s0x3a0277e7470f1ec5:0x7cc499f8ff87d73b!8m2!3d22.5769482!4d88.4340212!16s%2Fg%2F11j2f_l6k0!19sChIJxR4PR-d3AjoRO9eH__iZxHw?authuser=0&hl=en&rclk=1,http://jjproperties.in/,"['sales@jjproperties.in', 'info@jj-properties.be', 'ajanakievski@gmail.com', 'sales@jjproperty.com.au']",https://in.linkedin.com/company/jjproperties
Riddhi Realtors - Real Estate Agency Kolkata,Not present on google business profiles,08981138190,https://www.google.com/maps/place/Riddhi+Realtors+-+Real+Estate+Agency+Kolkata/data=!4m7!3m6!1s0xf34c67cf97cc93b:0x3506b89945dca725!8m2!3d22.3916348!4d88.3277241!16s%2Fg%2F11vctvl8fv!19sChIJO8l8-XzGNA8RJafcRZm4BjU?authuser=0&hl=en&rclk=1,https://riddhirealtors.com/,"['info@riddhirealtors.com', 'riddhirealtors1@gmail.com', 'rskjalgaon@yahoo.co.in', 'avinashbisani@gmail.com']",Not present on google business profiles
Raghav Sen - Luxury Rent and Resale,"ground floor, 18 B, Lake View Rd, lake Terrace, Ballygunge, Kolkata, West Bengal 700029 ",09830043007,https://www.google.com/maps/place/Raghav+Sen+-+Luxury+Rent+and+Resale/data=!4m7!3m6!1s0x3a0277409231a057:0x2e6208318c023f8d!8m2!3d22.5163425!4d88.3555234!16s%2Fg%2F1tdwhy49!19sChIJV6AxkkB3AjoRjT8CjDEIYi4?authuser=0&hl=en&rclk=1,https://luxuryrentandresale.com/,"['raghavrealty@yahoo.com', 'kunalpropertyadvisor45@gmail.com', 'care@legaldesk.in.net']",https://in.linkedin.com/in/raghav-sen-55673277
RENTKART KOLKATA (REAL ESTATE),"3/219, Vidyasagar Colony, Ganguly Bagan, Kolkata, West Bengal 700047 ",07980719300,https://www.google.com/maps/place/RENTKART+KOLKATA+%28REAL+ESTATE%29/data=!4m7!3m6!1s0x3a0271d8161be133:0x256fb98c480f5d0b!8m2!3d22.4810621!4d88.3697228!16s%2Fg%2F11s7p1z6z3!19sChIJM-EbFthxAjoRC10PSIy5byU?authuser=0&hl=en&rclk=1,https://rentkartkolkata.com/,"['rentkartkolkata@gmail.com', 'book@carrentkolkata.com']",Not present on google business profiles
