Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
Dhani Properties,"1 floor, 966, 15th A Cross Rd, above Punjab National Bank, Sector A, Yelahanka Satellite Town, Yelahanka New Town, Bengaluru, Karnataka 560064 ",09686404647,https://www.google.com/maps/place/Dhani+Properties/data=!4m7!3m6!1s0x3bae19813650218d:0x7be3c00d008b7213!8m2!3d13.0931193!4d77.5887092!16s%2Fg%2F11q937tz1z!19sChIJjSFQNoEZrjsRE3KLAA3A43s?authuser=0&hl=en&rclk=1,http://dhaniventures.com/,"['dhaniventures@gmail.com', 'dhanisecretarial@dhani.com']",https://in.linkedin.com/company/dhaniproperties
Real Estate Agent-Bhagat Ram & Sons Realtors,"3455, Chandigarh Rd, opposite police colony, Sector 32A, Ludhiana, Punjab 141003 ",09815022000,https://www.google.com/maps/place/Real+Estate+Agent-Bhagat+Ram+%26+Sons+Realtors/data=!4m7!3m6!1s0x391a9d004e04c703:0x8a913f6c64028843!8m2!3d30.9036501!4d75.9016252!16s%2Fg%2F11jh4d2y9t!19sChIJA8cETgCdGjkRQ4gCZGw_kYo?authuser=0&hl=en&rclk=1,https://bhagatramrealtor.com/,"['bhagatramsonsrealtors@gmail.com', 'navadurga99@gmail.com', 'igconline.in@gmail.com']",https://in.linkedin.com/company/bhagat-ram-sons-realtors
Anugraha Properties,"49, Ganga Complex, New BEL Rd, next to the punjab national bank, R.M.V. 2nd Stage, Bengaluru, Karnataka 560054 ",09739583633,https://www.google.com/maps/place/Anugraha+Properties/data=!4m7!3m6!1s0x3bae170781fc551d:0x39d185f83e311494!8m2!3d13.0342808!4d77.5682142!16s%2Fg%2F11y3zv1kpd!19sChIJHVX8gQcXrjsRlBQxPviF0Tk?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['admin@anugrahapropertiesinc.com', 'vinayak@anugrahaestates.com', 'Sales@anugrahaproperty.com', 'cs@psgroup.in']",https://in.linkedin.com/in/anugraha2014
Adarsh Eco Place,"Adarsh Eco Place, 176, KIADB EPIP 2nd phase, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066 ",08041343400,https://www.google.com/maps/place/Adarsh+Eco+Place/data=!4m7!3m6!1s0x3bae11cc3184aecd:0xa21d5b9672b11971!8m2!3d12.9739146!4d77.718475!16s%2Fg%2F11qgc6_1n7!19sChIJza6EMcwRrjsRcRmxcpZbHaI?authuser=0&hl=en&rclk=1,https://www.adarshdevelopers.com/,"['sales@adarshdevelopers.com', 'firstname@adarshdevelopers.com']",https://in.linkedin.com/company/adarsh-developers
Starworth Infrastructure & Construction Ltd,"8, Ulsoor Rd, Halasuru, Yellappa Chetty Layout, Sivanchetti Gardens, Halasuru, Bengaluru, Karnataka 560042 ",08069388520,https://www.google.com/maps/place/Starworth+Infrastructure+%26+Construction+Ltd/data=!4m7!3m6!1s0x3bae1684b2e60a9b:0x6843674ba89727e5!8m2!3d12.974896!4d77.6198368!16s%2Fg%2F1tdqfxs1!19sChIJmwrmsoQWrjsR5SeXqEtnQ2g?authuser=0&hl=en&rclk=1,http://www.starworthinfra.com/,[],https://in.linkedin.com/company/starworth-infrastructure-and-construction-ltd-
Fortune favour,"5th Block, suryanagar phase 3, 1019, taluk, Jigala, Bengaluru, Karnataka 562107 ",09620877775,https://www.google.com/maps/place/Fortune+favour/data=!4m7!3m6!1s0x3bae7353cb9eb0c5:0x45dee0d1ba02fa32!8m2!3d12.7949957!4d77.760021!16s%2Fg%2F11r2qwv_p6!19sChIJxbCey1NzrjsRMvoCutHg3kU?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['info@favourandfortune.co', 'sales@fortunefavorsnuts.com', 'drink@fortunefavours.beer', 'info@fortunefavours.biz']",https://www.linkedin.com/company/fortunefavors
Kohinoor Property Studio - Real Estate Jalandhar,"66 Feet Rd, near Urban Estate phase II, IsharPuri Colony, Urban Estate phase II, Jalandhar, Punjab 144022 ",09153096530,https://www.google.com/maps/place/Kohinoor+Property+Studio+-+Real+Estate+Jalandhar/data=!4m7!3m6!1s0x391a5b97e15e5b55:0x276444293c13e077!8m2!3d31.2869473!4d75.5870957!16s%2Fg%2F11bwf8n34r!19sChIJVVte4ZdbGjkRd-ATPClEZCc?authuser=0&hl=en&rclk=1,https://www.kohinoorpropertystudio.in/,"['Kohinoorpropertystudio123@gmail.com', 'kohinoorpropertystudio123@gmail.com']",https://in.linkedin.com/in/kohinoor-property-studios
Big Time Realtors -Real Estate Consultant/Commercial Property Dealer/Commercial Leasing Agent/Property Consultant in Ludhiana,"Office no. 13, Upper Ground floor, Novelty Plaza, Ferozepur Rd, opp. Park Plaza Hotel, Bhai Wala Chowk, Ghumar Mandi, Ludhiana, Punjab 141001 ",09041457000,https://www.google.com/maps/place/Big+Time+Realtors+-Real+Estate+Consultant%2FCommercial+Property+Dealer%2FCommercial+Leasing+Agent%2FProperty+Consultant+in+Ludhiana/data=!4m7!3m6!1s0x391a824c398c61eb:0xff62210f3054b7ab!8m2!3d30.9024751!4d75.831334!16s%2Fg%2F11b7lc8yv5!19sChIJ62GMOUyCGjkRq7dUMA8hYv8?authuser=0&hl=en&rclk=1,http://bigtimerealtors.com/,[],Not present on google business profiles
Punjab Realtors,"Lodhi Club Rd, adjoining GS Memorial School, New BRS Nagar, New Sham Nagar, Shaheed Bhagat Singh Nagar, Ludhiana, Punjab 141012 ",09814200323,https://www.google.com/maps/place/Punjab+Realtors/data=!4m7!3m6!1s0x391a81e17ef444a1:0x2b181ddfe50a4962!8m2!3d30.8768017!4d75.7996375!16s%2Fg%2F11zjx9vcsl!19sChIJoUT0fuGBGjkRYkkK5d8dGCs?authuser=0&hl=en&rclk=1,https://www.punjabrealtors.in/,"['dewasrampunj@gmail.com', 'Kudratdeep Singh Email address is kxxxxxx@webs.com', 'Email: info@ramempireindia.com', 'panchmerustudio@gmail.com', 'chairman.ptb@punjab.gov.in']",https://in.linkedin.com/company/punjab-realtors
Bhatia Properties and Real estate,"Jalandhar Byepass, New Aman Nagar, near Deep Nursing Home, Ludhiana, Punjab 141008 ",08528625000,https://www.google.com/maps/place/Bhatia+Properties+and+Real+estate/data=!4m7!3m6!1s0x391a84740aca9cbf:0xc7626f3346588dc5!8m2!3d30.9386107!4d75.8334108!16s%2Fg%2F1vcl24n4!19sChIJv5zKCnSEGjkRxY1YRjNvYsc?authuser=0&hl=en&rclk=1,http://bhatiarealestate.wordpress.com/,"['bhatia.atul67@gmail.com', 'bhatia.sunil1973@gmail.com', 'sales@bhatiabuilders.com', 'bhatiaproperties@airtelmail.in', 'name@bhatiaproperties.com']",https://in.linkedin.com/company/bhatia-properties
