Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
Dhani Properties,"1 floor, 966, 15th A Cross Rd, above Punjab National Bank, Sector A, Yelahanka Satellite Town, Yelahanka New Town, Bengaluru, Karnataka 560064 ",09686404647,https://www.google.com/maps/place/Dhani+Properties/data=!4m7!3m6!1s0x3bae19813650218d:0x7be3c00d008b7213!8m2!3d13.0931193!4d77.5887092!16s%2Fg%2F11q937tz1z!19sChIJjSFQNoEZrjsRE3KLAA3A43s?authuser=0&hl=en&rclk=1,http://dhaniventures.com/,"['dhaniventures@gmail.com', 'dhanisecretarial@dhani.com']",https://in.linkedin.com/company/dhaniproperties
Anugraha Properties,"49, Ganga Complex, New BEL Rd, next to the punjab national bank, R.M.V. 2nd Stage, Bengaluru, Karnataka 560054 ",09739583633,https://www.google.com/maps/place/Anugraha+Properties/data=!4m7!3m6!1s0x3bae170781fc551d:0x39d185f83e311494!8m2!3d13.0342808!4d77.5682142!16s%2Fg%2F11y3zv1kpd!19sChIJHVX8gQcXrjsRlBQxPviF0Tk?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['admin@anugrahapropertiesinc.com', 'vinayak@anugrahaestates.com', 'Sales@anugrahaproperty.com', 'baskaran1@rediffmail.com', 'sales@anugrahaindia.com']",https://in.linkedin.com/in/anugraha2014
Starworth Infrastructure & Construction Ltd,"8, Ulsoor Rd, Halasuru, Yellappa Chetty Layout, Sivanchetti Gardens, Halasuru, Bengaluru, Karnataka 560042 ",08069388520,https://www.google.com/maps/place/Starworth+Infrastructure+%26+Construction+Ltd/data=!4m7!3m6!1s0x3bae1684b2e60a9b:0x6843674ba89727e5!8m2!3d12.974896!4d77.6198368!16s%2Fg%2F1tdqfxs1!19sChIJmwrmsoQWrjsR5SeXqEtnQ2g?authuser=0&hl=en&rclk=1,http://www.starworthinfra.com/,[],https://in.linkedin.com/company/starworth-infrastructure-and-construction-ltd-
Kohinoor Property Studio - Real Estate Jalandhar,"66 Feet Rd, near Urban Estate phase II, IsharPuri Colony, Urban Estate phase II, Jalandhar, Punjab 144022 ",09153096530,https://www.google.com/maps/place/Kohinoor+Property+Studio+-+Real+Estate+Jalandhar/data=!4m7!3m6!1s0x391a5b97e15e5b55:0x276444293c13e077!8m2!3d31.2869473!4d75.5870957!16s%2Fg%2F11bwf8n34r!19sChIJVVte4ZdbGjkRd-ATPClEZCc?authuser=0&hl=en&rclk=1,https://www.kohinoorpropertystudio.in/,"['Kohinoorpropertystudio123@gmail.com', 'kohinoorpropertystudio123@gmail.com']",https://in.linkedin.com/in/kohinoor-property-studios
Fortune favour,"5th Block, suryanagar phase 3, 1019, taluk, Jigala, Bengaluru, Karnataka 562107 ",09620877775,https://www.google.com/maps/place/Fortune+favour/data=!4m7!3m6!1s0x3bae7353cb9eb0c5:0x45dee0d1ba02fa32!8m2!3d12.7949957!4d77.760021!16s%2Fg%2F11r2qwv_p6!19sChIJxbCey1NzrjsRMvoCutHg3kU?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['fortunefavorofficial@gmail.com', 'info@favourandfortune.co']",https://www.linkedin.com/company/fortunefavors
Sodhi Real Estate & Builders,"CS Toor Enclave, Near Verka milk plant, nh-1, Jalandhar, Punjab 144008 ",09915372234,https://www.google.com/maps/place/Sodhi+Real+Estate+%26+Builders/data=!4m7!3m6!1s0x391a5beb557db1dd:0x5900414275e33fdb!8m2!3d31.3723408!4d75.5550043!16s%2Fg%2F11fct117q_!19sChIJ3bF9VetbGjkR2z_jdUJBAFk?authuser=0&hl=en&rclk=1,Not present on google business profiles,[],https://in.linkedin.com/in/sodhi-uncle-851137107
Real Estate Agent-Bhagat Ram & Sons Realtors,"3455, Chandigarh Rd, opposite police colony, Sector 32A, Ludhiana, Punjab 141003 ",09815022000,https://www.google.com/maps/place/Real+Estate+Agent-Bhagat+Ram+%26+Sons+Realtors/data=!4m7!3m6!1s0x391a9d004e04c703:0x8a913f6c64028843!8m2!3d30.9036501!4d75.9016252!16s%2Fg%2F11jh4d2y9t!19sChIJA8cETgCdGjkRQ4gCZGw_kYo?authuser=0&hl=en&rclk=1,https://bhagatramrealtor.com/,"['bhagatramsonsrealtors@gmail.com', '', 'igconline.in@gmail.com']",https://in.linkedin.com/company/bhagat-ram-sons-realtors
Shiva Property,"Corporate Office: Ground Floor, 66 Feet Rd, opp. Curo Mall Haveli, near HP Petrol Pump, Punjabi Bagh Extention, Mithapur, Jalandhar, Punjab 144005 ",09056123555,https://www.google.com/maps/place/Shiva+Property/data=!4m7!3m6!1s0x391a5ba75846c277:0x487a394613e27eda!8m2!3d31.2829983!4d75.5866589!16s%2Fg%2F11sbq_cgn7!19sChIJd8JGWKdbGjkR2n7iE0Y5ekg?authuser=0&hl=en&rclk=1,https://shivaproperty.in/,"['Note: There is also a distinct entity, ""Shiv Properties"" (shiv-properties.com), which uses contact@shiv-properties.com.', 'shivapropertyjal@gmail.com', 'shivapropdelhi@gmail.com', 'o7emp03@gmail.com']",https://www.linkedin.com/company/shiva-properties
Bhatia Properties and Real estate,"Jalandhar Byepass, New Aman Nagar, near Deep Nursing Home, Ludhiana, Punjab 141008 ",08528625000,https://www.google.com/maps/place/Bhatia+Properties+and+Real+estate/data=!4m7!3m6!1s0x391a84740aca9cbf:0xc7626f3346588dc5!8m2!3d30.9386107!4d75.8334108!16s%2Fg%2F1vcl24n4!19sChIJv5zKCnSEGjkRxY1YRjNvYsc?authuser=0&hl=en&rclk=1,http://bhatiarealestate.wordpress.com/,"['info@bhatiabuilders.com', 'bhatia.sunil1973@gmail.com']",https://in.linkedin.com/company/bhatia-properties
Real Estate Linkers,"Chandigarh Road,Nh-5, and, opp. Osho forge, near container yard, Ludhiana, Punjab 141123 ",09814900201,https://www.google.com/maps/place/Real+Estate+Linkers/data=!4m7!3m6!1s0x391a9d8b23b9f40b:0x6702dfaea338458b!8m2!3d30.8741829!4d75.9651063!16s%2Fg%2F11h3f06n0t!19sChIJC_S5I4udGjkRi0U4o67fAmc?authuser=0&hl=en&rclk=1,http://www.realestatelinkers.com/,"['realestatelinkers2@gmail.com', 'support@linkersindia.in', 'realtylinkers@gmail.com', 'linkersrealtors@yahoo.com', 'info@linkersrealestate.com.au']",https://in.linkedin.com/company/linkers-india
