Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
TechTree IT Systems Private Limited,"Nelson Building M, Krishnappa Layout, 111, Lal Bagh Main Rd, Doddamavalli, Sudhama Nagar, Bengaluru, Karnataka 560027 ",08022219722,https://www.google.com/maps/place/TechTree+IT+Systems+Private+Limited/data=!4m7!3m6!1s0x3bae17a932188871:0x59be92b0a04f290e!8m2!3d12.9568933!4d77.5852148!16s%2Fg%2F1v46yt3n!19sChIJcYgYMqkXrjsRDilPoLCSvlk?authuser=0&hl=en&rclk=1,http://www.techtreeit.com/,"['finance.accounts@techtreeit.com', 'contact@techtreeit.com', ""first '.' last@techtreeit.com"", 'amit@reciproci.com', 'pathy2620@gmail.com']",https://in.linkedin.com/company/techtreeit-systems-p-ltd-
Vishal Infotech - TVS Electronics Ltd,"1St Floor, Leela, 111/12, Sadar Patrappa Rd, Thigalarpet, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002 ",08047091201,https://www.google.com/maps/place/Vishal+Infotech+-+TVS+Electronics+Ltd/data=!4m7!3m6!1s0x3bae15e06fbc467b:0x432c8a5e557b0110!8m2!3d12.9645333!4d77.5837549!16s%2Fg%2F1tgg8dfr!19sChIJe0a8b-AVrjsREAF7VV6KLEM?authuser=0&hl=en&rclk=1,https://www.google.co.in/search?hl=en&gl=IN&udm=28&q=Vishal%20Infotech%20-%20TVS%20Electronics%20Ltd&shoprs=Egk6BwoF6MmH0QISDLIBCQkVh4bz1aVWIRgCMm8IAhIlVmlzaGFsIEluZm90ZWNoIC0gVFZTIEVsZWN0cm9uaWNzIEx0ZCIJOgcKBejJh9ECIgyyAQkJFYeG89WlViEqKQolVmlzaGFsIEluZm90ZWNoIC0gVFZTIEVsZWN0cm9uaWNzIEx0ZBgBSAE,"['sales-support@tvs-e.in', 'v***@tvs-e.in']","https://in.linkedin.com/in/srilalitha-gopal#:~:text=Srilalitha%20Gopal%20%2D%20TVS%20Electronics%20%7C%20LinkedIn,Currently%20entrusted%20with%20the%20role%E2%80%A6"
Techasoft Pvt. Ltd.,"3rd Floor, 435, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102 ",08884739988,https://www.google.com/maps/place/Techasoft+Pvt.+Ltd./data=!4m7!3m6!1s0x3bae1442933125ef:0xf84c75e49cc9617d!8m2!3d12.9167145!4d77.6518964!16s%2Fg%2F11c6lc0_jf!19sChIJ7yUxk0IUrjsRfWHJnOR1TPg?authuser=0&hl=en&rclk=1,https://www.techasoft.com/,"['email info@techasoft.com', 'info@techasoft.com', 'mtf.iq02@gmail.com']",https://ca.linkedin.com/company/techasoft-pvt-ltd
Tech minds,"1st Floor, 334/28, 14th Cross Rd, 2nd Block, Jayanagar, Bengaluru, Karnataka 560011 ",08904599283,https://www.google.com/maps/place/Tech+minds/data=!4m7!3m6!1s0x3bae15adfc868c21:0xfa8b6c9cbfe474ad!8m2!3d12.9372837!4d77.5823059!16s%2Fg%2F11qbh0hp7f!19sChIJIYyG_K0VrjsRrXTkv5xsi_o?authuser=0&hl=en&rclk=1,https://wa.link/vmo7zs,"['sales@techmindsllc.com', 'info@techmindsconsulting.in', 'info@techavoption.com', 'info@tech-minds.co.in', 'contact@grotechminds.com', 'sales@techminds.co.in', 'thetechmindsinfo@gmail.com', 'info@techmindsdigital.com', 'info@techmindsit.co.in']","https://www.linkedin.com/company/techminds-consulting#:~:text=About%20us,generating%20results%20on%20the%20ground."
ASM Technologies,"Lusanne Court, 80/2, Richmond Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025 ",08066962302,https://www.google.com/maps/place/ASM+Technologies/data=!4m7!3m6!1s0x3bae1547c5bc48b1:0x215b9fb489d6c4c8!8m2!3d12.96574!4d77.604807!16s%2Fg%2F1tcv4rtg!19sChIJsUi8xUcVrjsRyMTWibSfWyE?authuser=0&hl=en&rclk=1,http://www.asmltd.com/,"['info@asmltd.com', 'vanishree.kulkarni@asmltd.com', 'pnlakshmi@asmltd.com', 'Email: info@asmltd.com', 'VANISHREE.KULKARNI@ASMLTD.COM', 'asm@asmltd.com']","https://in.linkedin.com/company/asm-technologies#:~:text=About%20us,is%20too%20large%20or%20small."
Inventeron Technologies,"No,322,3rd floor, No 8, Railway compound, Binny Mill Rd, above HDFC Bank Binni, near Sangolli Rayanna Metro Station, Subhash Nagar, Sevashrama, Bengaluru, Karnataka 560023 ",08660723535,https://www.google.com/maps/place/Inventeron+Technologies/data=!4m7!3m6!1s0x3bae3de52fb6c471:0x26314cdff64e63f9!8m2!3d12.9745958!4d77.5662153!16s%2Fg%2F11f4ln3lgq!19sChIJccS2L-U9rjsR-WNO9t9MMSY?authuser=0&hl=en&rclk=1,http://www.inventeron.com/,"['sales@inventeron.com', 'atharazzvi@gmail.com']","https://in.linkedin.com/company/inventeron-technologies#:~:text=About%20us,of%20things%2C%20and%20deep%20learning"
"Computer Mega IT - Best Custom PC Build Store for Gaming, Editing, Laptop, Pro AI Workstation, 3D Rendering & IT Peripherals","Ground No. 83/1, Sadar Patrappa Rd, Thigalarpet, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002 ",08660036499,"https://www.google.com/maps/place/Computer+Mega+IT+-+Best+Custom+PC+Build+Store+for+Gaming,+Editing,+Laptop,+Pro+AI+Workstation,+3D+Rendering+%26+IT+Peripherals/data=!4m7!3m6!1s0x3bae15da626b6e07:0x8058ea98b76b8fdb!8m2!3d12.9647974!4d77.5833897!16s%2Fg%2F11frmp43zr!19sChIJB25rYtoVrjsR249rt5jqWIA?authuser=0&hl=en&rclk=1",https://computermegait.in/,['sales@computermegait.in'],Not present on google business profiles
Prestige Blue Chip Software Park,"WJP4+Q5R, Hosur Main Road, Dairy Colony, Adugodi, Bengaluru, Karnataka 560029 ",Not present on google business profiles,https://www.google.com/maps/place/Prestige+Blue+Chip+Software+Park/data=!4m7!3m6!1s0x3bae15b305a72737:0x8035184415bc4ab5!8m2!3d12.9369886!4d77.6053962!16s%2Fg%2F1pycxbj0s!19sChIJNyenBbMVrjsRtUq8FUQYNYA?authuser=0&hl=en&rclk=1,Not present on google business profiles,['achandavarkar@barracuda.com'],Not present on google business profiles
Innohub Technologies India Pvt Ltd,"Concorde Tower 1 Level 14 &15 UB City, Vittal Mallya Rd, Bengaluru, Karnataka 560001 ",08046810681,https://www.google.com/maps/place/Innohub+Technologies+India+Pvt+Ltd/data=!4m7!3m6!1s0x3bae17ac99f2dc93:0xdeca4819e5bdb85b!8m2!3d12.9714496!4d77.5960298!16s%2Fg%2F11q2vn25jq!19sChIJk9zymawXrjsRW7i95RlIyt4?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['Note: This is different from ""Innovationhub Technologies Private Limited"" based in Bangalore (paddy@innohub.co.in).', 'sunnydayalsingh@innohubtechnologies.com', 'Email: *****@innohub.co.in', 'paddy@innohub.co.in']","https://cn.linkedin.com/company/innohubtechnologies?trk=public_profile_topcard-current-company#:~:text=%E5%85%B3%E4%BA%8E%E6%88%91%E4%BB%AC,on%20leading%20technologies%20and%20platforms."
IFORTIS WORLDWIDE,"Level 14 & 15, UB City, Concorde Towers, 1, Vittal Mallya Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001 ",Not present on google business profiles,https://www.google.com/maps/place/IFORTIS+WORLDWIDE/data=!4m7!3m6!1s0x3b06cee4c3ed148d:0xf5f26b504f0da16f!8m2!3d12.9701276!4d77.6003276!16s%2Fg%2F11hxn29cb6!19sChIJjRTtw-TOBjsRb6ENT1Br8vU?authuser=0&hl=en&rclk=1,https://ifortisworldwide.org/,"['info@ifortisworldwide.org', 'Email: info@ifortisworldwide.org', 'info@ifortisworldwide.com', 'Email: *****@ifortisworldwide.org', 'first last@ifortisworldwide.com']",https://in.linkedin.com/company/ifortis-worldwide
Elfonze Technologies Pvt Ltd,"Basappa Complex, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001 ",09690247365,https://www.google.com/maps/place/Elfonze+Technologies+Pvt+Ltd/data=!4m7!3m6!1s0x3bae156720e4b2a1:0x9436c88de33da6ef!8m2!3d12.974532!4d77.5991005!16s%2Fg%2F11qq2zvnnx!19sChIJobLkIGcVrjsR76Y9443INpQ?authuser=0&hl=en&rclk=1,http://www.elfonze.com/,"['info@elfonze.com', 'ramesh@rtt.co.in']",https://in.linkedin.com/company/elfonzetechnologies
Cumulations Technologies,"2, 601/B, 5th Floor, Sriven Rag Landmark, Near Marvin Leather, Hosur Main Road, Wilson Garden, Bengaluru, Karnataka 560011 ",09845825982,https://www.google.com/maps/place/Cumulations+Technologies/data=!4m7!3m6!1s0x3bae15d64ef66955:0xf3ee7bc739c892b0!8m2!3d12.9460048!4d77.5951247!16s%2Fg%2F1ptx_tvrj!19sChIJVWn2TtYVrjsRsJLIOcd77vM?authuser=0&hl=en&rclk=1,https://calendly.com/divesh-k/project-brainstorming,"['seo.cumulations@gmail.com', 'sales@cumulations.com', 'madhu@cumulations.com']",https://in.linkedin.com/company/cumulations
Nsp square,"3rd Floor, Brigade Chambers, 88, Gandhi Bazaar Main Rd, opposite to Blue Hyundai Showroom, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004 ",08041204235,https://www.google.com/maps/place/Nsp+square/data=!4m7!3m6!1s0x3bae158171aff4ff:0xc5f7f682a2d4ebdf!8m2!3d12.9475724!4d77.5686993!16s%2Fg%2F11mv_pdh8l!19sChIJ__SvcYEVrjsR3-vUooL298U?authuser=0&hl=en&rclk=1,http://www.testyantra.com/,"['reachus@nspglobaltech.com', 'info@narayansolutions.com']","https://in.linkedin.com/company/nspglobaltech#:~:text=NSP%20Square%2C%20Sy%20No.%2050/4%20%2D%20BTM,Vijaya%20Bank%20Layout%2C%20Bilekahalli%2C%20Bengaluru%2C%20Karnataka%20%2D."
Igeeks Technologies,"NO:19,MN Complex,2nd Cross, Sampige Rd, Malleshwaram, Bengaluru, Karnataka 560003 ",09590544567,https://www.google.com/maps/place/Igeeks+Technologies/data=!4m7!3m6!1s0x3bae17e2a81e96cb:0x489a2994a2eccc3!8m2!3d12.9945493!4d77.5713668!16s%2Fg%2F11fj1r7j4d!19sChIJy5YeqOIXrjsRw8wuSpmiiQQ?authuser=0&hl=en&rclk=1,https://www.igeekstechnologies.com/,"['info@igeekstechnologies.com', 'igeekstechnologies@gmai', 'nanduigeeks2010@gmail.com']",https://in.linkedin.com/company/igeeks-technologies
Dyuti Technologies,"2nd Floor, Lotus, 25/1, Bull Temple Rd, beside Indian oil petrol pump, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004 ",08026615006,https://www.google.com/maps/place/Dyuti+Technologies/data=!4m7!3m6!1s0x3bae15fa492a625f:0x7150567dc482673b!8m2!3d12.946439!4d77.5679957!16s%2Fg%2F119vyct9k!19sChIJX2IqSfoVrjsRO2eCxH1WUHE?authuser=0&hl=en&rclk=1,http://www.dyutitech.com/,"['feedback@dyutitech.com', 'first_initial last@dyutitech.com', 'ca.mohanrawat@gmail.com']",https://in.linkedin.com/company/dyuti-technologies---india
