Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
GSA Techworld,"18th Main Road, 71st Cross Rd, Kumaraswamy Layout, Bengaluru, Karnataka 560111 ",06360544314,https://www.google.com/maps/place/GSA+Techworld/data=!4m7!3m6!1s0x3bae3e2672ffd439:0xfd9937831181f4dd!8m2!3d12.9029716!4d77.556389!16s%2Fg%2F11f121x7k3!19sChIJOdT_ciY-rjsR3fSBEYM3mf0?authuser=0&hl=en&rclk=1,https://gsatechworld.com/,"['sales@gsatechworld.com', 'recruitment@gsatechworld.co.in', 'sandhyagopinath07@gmail.com']",https://in.linkedin.com/company/gsatechworld
Radome Technologies and Services Pvt Ltd,"2nd floor, 531, 14th Cross Rd, above HDFC Bank, 2nd Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560111 ",Not present on google business profiles,https://www.google.com/maps/place/Radome+Technologies+and+Services+Pvt+Ltd/data=!4m7!3m6!1s0x3bae3f9c6e7650c9:0x2c6a2d4cc5e20985!8m2!3d12.8974824!4d77.5595987!16s%2Fg%2F11f1vp370d!19sChIJyVB2bpw_rjsRhQnixUwtaiw?authuser=0&hl=en&rclk=1,https://www.radometechnologies.com/,"['info@radometech.com', 'sales@radometech.com']",https://in.linkedin.com/company/radometech
Reboot Software Pvt Ltd,Not present on google business profiles,06361381192,https://www.google.com/maps/place/Reboot+Software+Pvt+Ltd/data=!4m7!3m6!1s0x3bae3fe69c7ffb83:0x48e5dc7d7128cfce!8m2!3d12.8921828!4d77.5541615!16s%2Fg%2F11f302v0lm!19sChIJg_t_nOY_rjsRzs8ocX3c5Ug?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['info@reboot-software.com', 'sales@reboot-software.com', 'avinash@reboot-software.com', 'xxxx@reboot-software.com']",https://in.linkedin.com/company/reboot-software
DxMinds | Mobile App Development Company in Bangalore,"32, 1st cross, 3rd Main, Kanakapura Main Rd, JC Industrial Area, Yelachenahalli, Bengaluru, Karnataka 560078 ",07483546629,https://www.google.com/maps/place/DxMinds+%7C+Mobile+App+Development+Company+in+Bangalore/data=!4m7!3m6!1s0x3bae155593c8538f:0xf95d65a57524b35!8m2!3d12.8954059!4d77.5673707!16s%2Fg%2F11fhnh_4v9!19sChIJj1PIk1UVrjsRNUtSV1rWlQ8?authuser=0&hl=en&rclk=1,https://dxminds.com/,"['hello@dxminds.com', 'info.usa@indosakura.com', 'hr@dxminds.com', 'bhabanee@gmail.com', 'Email: info@dxminds.com', 'inquiry@dxminds.com']",https://in.linkedin.com/company/dxminds
TechCiti Technologies Private Limited,"#22, 23,23,24,25/101 , 3rd Floor, BNR Complex, RBI Layout, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078 ",08041628482,https://www.google.com/maps/place/TechCiti+Technologies+Private+Limited/data=!4m7!3m6!1s0x3bae1547b5f1fc6d:0x75fbdc2a6b92b04a!8m2!3d12.8922352!4d77.5811625!16s%2Fg%2F12cpjb0j9!19sChIJbfzxtUcVrjsRSrCSayrc-3U?authuser=0&hl=en&rclk=1,http://www.techcititechnologies.in/,"['paritosh@techciti.in', 'support@tofler.in', 'first@techciti.in']",https://in.linkedin.com/company/techcititechnologies
IBeON INFOTECH PVT LTD - BEST IT SUPPORT COMPANY IN BANGALORE,"8/1, 1st floor, 1st A cross, 24th Main Rd, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078 ",08048535499,https://www.google.com/maps/place/IBeON+INFOTECH+PVT+LTD+-+BEST+IT+SUPPORT+COMPANY+IN+BANGALORE/data=!4m7!3m6!1s0x3bae15a28a8fcea3:0xfe273a8bd6c8a447!8m2!3d12.9158411!4d77.585894!16s%2Fg%2F1ptxfyn46!19sChIJo86PiqIVrjsRR6TI1os6J_4?authuser=0&hl=en&rclk=1,http://www.ibeoninfotech.com/,"['info@ibeoninfotech.com', 'mdrabban.git@gmail.com']",https://in.linkedin.com/company/ibeon-infotech
CognitiveClouds Software Pvt. Ltd.,"3rd Main Road, KSRTC Layout, Chikkalasandra, Bengaluru, Karnataka 560061 ",Not present on google business profiles,https://www.google.com/maps/place/CognitiveClouds+Software+Pvt.+Ltd./data=!4m7!3m6!1s0x3bae3fcfc7b7396b:0x8db2f50f20a999c6!8m2!3d12.9104766!4d77.5492528!16s%2Fg%2F12hp_pwhd!19sChIJazm3x88_rjsRxpmpIA_1so0?authuser=0&hl=en&rclk=1,https://www.cognitiveclouds.app/,"[""first '.' last@ceresvt.com"", 'first}@cognitiveclouds.com', 'srikant.umarji@cognitiveclouds.com']",https://in.linkedin.com/company/cognitiveclouds
Indo-Sakura Software Pvt Ltd.,"32, 1st cross, 3rd Main, Kanakapura Main Rd, near HDFC bank, JC Industrial Area, Yelachenahalli, Bengaluru, Karnataka 560111 ",09686391210,https://www.google.com/maps/place/Indo-Sakura+Software+Pvt+Ltd./data=!4m7!3m6!1s0x3bae3e3955555555:0x545a05a8aa0d2c1c!8m2!3d12.8953527!4d77.5673682!16s%2Fg%2F1tgxrzvn!19sChIJVVVVVTk-rjsRHCwNqqgFWlQ?authuser=0&hl=en&rclk=1,https://www.indosakura.com/,"['info.japan@indosakura.com', 'info@indosakura.com', 'dsath@indosakura.com']",https://in.linkedin.com/company/indo-sakura-software-japan
Tech minds,"1st Floor, 334/28, 14th Cross Rd, 2nd Block, Jayanagar, Bengaluru, Karnataka 560011 ",08904599283,https://www.google.com/maps/place/Tech+minds/data=!4m7!3m6!1s0x3bae15adfc868c21:0xfa8b6c9cbfe474ad!8m2!3d12.9372837!4d77.5823059!16s%2Fg%2F11qbh0hp7f!19sChIJIYyG_K0VrjsRrXTkv5xsi_o?authuser=0&hl=en&rclk=1,https://wa.link/vmo7zs,"['sales@techmindsllc.com', 'info@techmindsconsulting.in', 'info@techavoption.com', 'thetechmindsinfo@gmail.com', 'info@tech-minds.co.in', 'contact@grotechminds.com', 'sales@techminds.co.in', 'mstechmindsindia@gmail.com', 'info@techmindsit.co.in']",https://in.linkedin.com/company/techmindsgroup
TechTree IT Systems Private Limited,"Nelson Building M, Krishnappa Layout, 111, Lal Bagh Main Rd, Doddamavalli, Sudhama Nagar, Bengaluru, Karnataka 560027 ",08022219722,https://www.google.com/maps/place/TechTree+IT+Systems+Private+Limited/data=!4m7!3m6!1s0x3bae17a932188871:0x59be92b0a04f290e!8m2!3d12.9568933!4d77.5852148!16s%2Fg%2F1v46yt3n!19sChIJcYgYMqkXrjsRDilPoLCSvlk?authuser=0&hl=en&rclk=1,http://www.techtreeit.com/,"['finance.accounts@techtreeit.com', 'contact@techtreeit.com', ""first '.' last@techtreeit.com"", 'amit@reciproci.com']",https://in.linkedin.com/company/techtreeit-systems-p-ltd-
