Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
Banao Technologies,"809/1, Ferns Paradise, Doddanekkundi, Bengaluru, Karnataka 560048 ",Not present on google business profiles,https://www.google.com/maps/place/Banao+Technologies/data=!4m7!3m6!1s0x3bae118b5a6382bf:0x93cad3a96e9a3048!8m2!3d12.9772368!4d77.7022499!16s%2Fg%2F11lp_n4305!19sChIJv4JjWosRrjsRSDCabqnTypM?authuser=0&hl=en&rclk=1,https://www.banao.tech/,"['admin@banao.tech', 'email. ******@banao.tech']",https://in.linkedin.com/company/banao-tech
Neominds Software Private Limited,"82, 2nd Floor, Kellan heights, Karthik Nagar, Doddanekundi, Marathahalli, Bengaluru, Karnataka 560037 ",Not present on google business profiles,https://www.google.com/maps/place/Neominds+Software+Private+Limited/data=!4m7!3m6!1s0x3bae16a4c81ee52f:0xdeef854c890387d7!8m2!3d12.9701824!4d77.7000097!16s%2Fg%2F1tgd4zcb!19sChIJL-UeyKQWrjsR14cDiUyF794?authuser=0&hl=en&rclk=1,http://www.neominds.in/,"['hello@neominds.in', 'jayesh_babu@yahoo.com', 'careers@neominds.in']",https://in.linkedin.com/company/neominds
Sunfra Technologies,"9, Martin Towers,1st A Cross, Anantha Ram Reddy Layout, ORR, Marathahalli, behind Vinayaka Skoda Car Showroom, Bengaluru, Karnataka 560037 ",08065666999,https://www.google.com/maps/place/Sunfra+Technologies/data=!4m7!3m6!1s0x3bae14babbc5d4b1:0xd629cf6f31ea1178!8m2!3d12.9647503!4d77.7026815!16s%2Fg%2F12vtpjf9h!19sChIJsdTFu7oUrjsReBHqMW_PKdY?authuser=0&hl=en&rclk=1,http://www.sunfra.com/,"['PRASAD.PANATI@GMAIL.COM', 'info@vintagehrconsultants.com', 'xxxx@sunfra.com']",https://in.linkedin.com/company/sunfra-technologies
Finastra Software Solutions,"Bagmane Constellation Business Park 4th, 5th & 6th Floor, North Block, Virgo Building, Outer Ring Rd, Doddanekundi, Marathahalli, Bengaluru, Karnataka 560048 ",08040404040,https://www.google.com/maps/place/Finastra+Software+Solutions/data=!4m7!3m6!1s0x3bae13cc1e08c13f:0x52df7b2225883e58!8m2!3d12.9822582!4d77.6970421!16s%2Fg%2F11c0qwm6x6!19sChIJP8EIHswTrjsRWD6IJSJ731I?authuser=0&hl=en&rclk=1,http://www.finastra.com/,"['savitha.jain@finastra.com', 'company.secretarial@finastra.com', 'wanneeka.goddard@finastra.com']",https://www.linkedin.com/company/finastra
Lumen Technologies India Pvt. Ltd.,"WMPR+V6P, Outer Ring Road, Service Rd, Bengaluru, Karnataka 560103 ",Not present on google business profiles,https://www.google.com/maps/place/Lumen+Technologies+India+Pvt.+Ltd./data=!4m7!3m6!1s0x3bae13ae3a598c2b:0x6745a9337cd3f35!8m2!3d12.9372074!4d77.6905657!16s%2Fg%2F1wt3lvbq!19sChIJK4xZOq4TrjsRNT_NN5NadAY?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['Note: The email address lumentechblr@gmail.com belongs to ""Lumen Tech Private Limited"" and lumenstechnology@rediffmail.com belongs to ""Lumens Technologies Private Limited"", which are distinct entities from the multinational Lumen Technologies (formerly CenturyLink).', 'lumens@lumenstech.in', 'lumenstechnology@rediffmail.com', 'ctlindiastatc@lumen.com', 'lumentechblr@gmail.com', 'rcc@lumen.com', 'debasish.dey@lumen.com']",https://in.linkedin.com/company/lumen-technologies-india
Excerpt Technologies Private Limited,"B133/1, 2nd Floor, KSSIDC ITI Estate, Whitefield Main Rd, Mahadevapura, Bengaluru, Karnataka 560048 ",09900502404,https://www.google.com/maps/place/Excerpt+Technologies+Private+Limited/data=!4m7!3m6!1s0x3bae11e5beced50b:0x6dfbb6145c02cc8b!8m2!3d12.999514!4d77.698759!16s%2Fg%2F11pwy9gj_h!19sChIJC9XOvuURrjsRi8wCXBS2-20?authuser=0&hl=en&rclk=1,https://www.excerptech.com/,"['info@excerptech.com', 'Usinfo@excerptech.com', ""first '.' last@excerptech.com""]",https://in.linkedin.com/company/excerptech
Zauca Technologies Pvt Ltd,"558, 2nd Floor, 558, 15th Cross Rd, Pragathi Layout, Doddanekundi, Doddanekkundi, Bengaluru, Karnataka 560037 ",08067776777,https://www.google.com/maps/place/Zauca+Technologies+Pvt+Ltd/data=!4m7!3m6!1s0x3bae11abe99cb30b:0x226e924f881f7124!8m2!3d12.9740288!4d77.6935763!16s%2Fg%2F11b723hxl9!19sChIJC7Oc6asRrjsRJHEfiE-SbiI?authuser=0&hl=en&rclk=1,https://www.zauca.com/,['support@zauca.in'],https://in.linkedin.com/company/zauca-consultancy-services
Red Hat India Pvt. Ltd.,"Bagmane Constellation Business Park, Carina Building, 10th Floor East, Doddanekkundi, Bengaluru, Karnataka 560037 ",Not present on google business profiles,https://www.google.com/maps/place/Red+Hat+India+Pvt.+Ltd./data=!4m7!3m6!1s0x3bae11780bbba389:0x6fe928c5cf5f49aa!8m2!3d12.9823286!4d77.6991806!16s%2Fg%2F11hbfh4g34!19sChIJiaO7C3gRrjsRqklfz8Uo6W8?authuser=0&hl=en&rclk=1,https://www.redhat.com/,"['customerservice-english@redhat.com', 'apac@redhat.com', 'mea@redhat.com', 'afewell@redhat.com']",https://www.linkedin.com/company/red-hat
Nextwebi IT Solutions Pvt. Ltd.,"4th Floor, 32/1, NCPR Layout, Doddanekundi Whitefield, near ITPL Main Road, Mahadevapura, Bengaluru, Karnataka 560048 ",07619635111,https://www.google.com/maps/place/Nextwebi+IT+Solutions+Pvt.+Ltd./data=!4m7!3m6!1s0x3bae15ab45b23ebb:0xffe7459877a56523!8m2!3d12.9841403!4d77.709978!16s%2Fg%2F11q9d82kt_!19sChIJuz6yRasVrjsRI2Wld5hF5_8?authuser=0&hl=en&rclk=1,https://www.nextwebi.com/,"['hr@nextwebi.com', 'projects@nextwebi.com', 'Email: info@nextwebi.com', 'ajay@nextwebi.com']",https://in.linkedin.com/company/nextwebi
Soft Suave Technologies,"Gayatri Tech Park (4th floor Plot 183, EPIP, Near iGate, KIADB Industrial Area, Road, 1B, EPIP Zone Whitefield Rd, Kundalahalli, Whitefield, Bengaluru, Karnataka 560066 ",08042161324,https://www.google.com/maps/place/Soft+Suave+Technologies/data=!4m7!3m6!1s0x3bae1329c73049b1:0x81a90e9c26ea4fcd!8m2!3d12.9728546!4d77.7199935!16s%2Fg%2F11fp9dkkq9!19sChIJsUkwxykTrjsRzU_qJpwOqYE?authuser=0&hl=en&rclk=1,https://www.softsuave.com/,"['contact@softsuave.com', 'rameshv1210@gmail.com', ""first '.' last@softsuave.com""]",https://in.linkedin.com/company/softsuave
