Company Name,Address,Phone Number,Google business profile link,Website,E-Mail,Linkedin-Link
TechCiti Technologies Private Limited,"#22, 23,23,24,25/101 , 3rd Floor, BNR Complex, RBI Layout, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078 ",08041628482,https://www.google.com/maps/place/TechCiti+Technologies+Private+Limited/data=!4m7!3m6!1s0x3bae1547b5f1fc6d:0x75fbdc2a6b92b04a!8m2!3d12.8922352!4d77.5811625!16s%2Fg%2F12cpjb0j9!19sChIJbfzxtUcVrjsRSrCSayrc-3U?authuser=0&hl=en&rclk=1,http://www.techcititechnologies.in/,"['paritosh@techciti.in', 'support@tofler.in', 'first@techciti.in']",https://in.linkedin.com/company/techcititechnologies
DxMinds | Mobile App Development Company in Bangalore,"32, 1st cross, 3rd Main, Kanakapura Main Rd, JC Industrial Area, Yelachenahalli, Bengaluru, Karnataka 560078 ",07483546629,https://www.google.com/maps/place/DxMinds+%7C+Mobile+App+Development+Company+in+Bangalore/data=!4m7!3m6!1s0x3bae155593c8538f:0xf95d65a57524b35!8m2!3d12.8954059!4d77.5673707!16s%2Fg%2F11fhnh_4v9!19sChIJj1PIk1UVrjsRNUtSV1rWlQ8?authuser=0&hl=en&rclk=1,https://dxminds.com/,"['hello@dxminds.com', 'info.usa@indosakura.com', 'hr@dxminds.com', 'bhabanee@gmail.com', 'Email: info@dxminds.com', 'inquiry@dxminds.com']",https://in.linkedin.com/company/dxminds
IBeON INFOTECH PVT LTD - BEST IT SUPPORT COMPANY IN BANGALORE,"8/1, 1st floor, 1st A cross, 24th Main Rd, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078 ",08048535499,https://www.google.com/maps/place/IBeON+INFOTECH+PVT+LTD+-+BEST+IT+SUPPORT+COMPANY+IN+BANGALORE/data=!4m7!3m6!1s0x3bae15a28a8fcea3:0xfe273a8bd6c8a447!8m2!3d12.9158411!4d77.585894!16s%2Fg%2F1ptxfyn46!19sChIJo86PiqIVrjsRR6TI1os6J_4?authuser=0&hl=en&rclk=1,http://www.ibeoninfotech.com/,"['info@ibeoninfotech.com', 'mdrabban.git@gmail.com']",https://in.linkedin.com/company/ibeon-infotech
Indo-Sakura Software Pvt Ltd.,"32, 1st cross, 3rd Main, Kanakapura Main Rd, near HDFC bank, JC Industrial Area, Yelachenahalli, Bengaluru, Karnataka 560111 ",09686391210,https://www.google.com/maps/place/Indo-Sakura+Software+Pvt+Ltd./data=!4m7!3m6!1s0x3bae3e3955555555:0x545a05a8aa0d2c1c!8m2!3d12.8953527!4d77.5673682!16s%2Fg%2F1tgxrzvn!19sChIJVVVVVTk-rjsRHCwNqqgFWlQ?authuser=0&hl=en&rclk=1,https://www.indosakura.com/,"['info.japan@indosakura.com', 'info@indosakura.com', 'dsath@indosakura.com']",https://in.linkedin.com/company/indo-sakura-software-japan
We Route Leads Tech Pvt Ltd (An iProcess Data Systems company),"2nd Floor, 13/A, Kothnur Main Rd, Jagruthi Colony, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078 ",Not present on google business profiles,https://www.google.com/maps/place/We+Route+Leads+Tech+Pvt+Ltd+%28An+iProcess+Data+Systems+company%29/data=!4m7!3m6!1s0x3bae2281d4231ecd:0x3c447ce9d959963!8m2!3d12.8948694!4d77.5818181!16s%2Fg%2F11gf9mfzpf!19sChIJzR4j1IEirjsRY5mVnc5HxAM?authuser=0&hl=en&rclk=1,Not present on google business profiles,"['jagadeesha.k@gmail.com', 'info@werouteglobal.com']",https://in.linkedin.com/company/we-route-leads
Griha Software Technologies Pvt Ltd,"#466, 2nd Main Road, SUGRIHA, RBI Layout, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078 ",08067415606,https://www.google.com/maps/place/Griha+Software+Technologies+Pvt+Ltd/data=!4m7!3m6!1s0x3bae150cdb7627cf:0x8c02c3e7152c3483!8m2!3d12.8888134!4d77.581525!16s%2Fg%2F1wz514k2!19sChIJzyd22wwVrjsRgzQsFefDAow?authuser=0&hl=en&rclk=1,http://www.grihasoft.com/,"['contact@grihasoft.com', 'contact@globalminds.biz', 'ashritha@grihasoft.com', 'info@grihasoft.com', 'murali@grihasoft.com', 'careers@grihasoft.com']",https://in.linkedin.com/company/grihasoft
Tech Minds Engineering Solutions,"90/5, 90/5 4th main BOB colony, near chaithnaya PU college, Puttenahalli, JP Nagar 7th Phase, Bengaluru, Karnataka 560078 ",Not present on google business profiles,https://www.google.com/maps/place/Tech+Minds+Engineering+Solutions/data=!4m7!3m6!1s0x3bae15a96abc256b:0xaad4ca853e547c32!8m2!3d12.8958217!4d77.5841008!16s%2Fg%2F11krkw3sht!19sChIJayW8aqkVrjsRMnxUPoXK1Ko?authuser=0&hl=en&rclk=1,https://techmindsengineeringsolutions.com/,['info@techmindsengineeringsolutions.com'],https://in.linkedin.com/company/tech-minds-engineering-solutions
Amiti Software Technologies Private Limited,"68 4th Cross Panduranganagar, Opp Adigas/HSBC, Bannerghatta Rd, Bengaluru, Karnataka 560076 ",Not present on google business profiles,https://www.google.com/maps/place/Amiti+Software+Technologies+Private+Limited/data=!4m7!3m6!1s0x3bae1524c170499d:0x9423f8c83d07ee39!8m2!3d12.8922013!4d77.5976133!16s%2Fg%2F11c0qxrnmd!19sChIJnUlwwSQVrjsROe4HPcj4I5Q?authuser=0&hl=en&rclk=1,http://www.amiti.in/,['sri@amiti.in'],https://in.linkedin.com/company/amiti-software-technologies-pvt.-ltd.
"Qseap Infotech Pvt Ltd, Bangalore","Second Floor, 951, 24th Main Rd, R.K Colony, Marenahalli, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560041 ",02249245301,"https://www.google.com/maps/place/Qseap+Infotech+Pvt+Ltd,+Bangalore/data=!4m7!3m6!1s0x3bae15b2195efa2b:0x9b3e91c7d447dfd7!8m2!3d12.9146191!4d77.5859377!16s%2Fg%2F11t1j8xm8l!19sChIJK_peGbIVrjsR199H1MeRPps?authuser=0&hl=en&rclk=1",http://www.qseap.com/,"['Business Phone Email: info@qseap.com', 'Email: info@qseap.com', 'info@qseap.com', 'hr@qseap.com']",https://in.linkedin.com/company/qseap-infotech-pvt-ltd
Tech minds,"1st Floor, 334/28, 14th Cross Rd, 2nd Block, Jayanagar, Bengaluru, Karnataka 560011 ",08904599283,https://www.google.com/maps/place/Tech+minds/data=!4m7!3m6!1s0x3bae15adfc868c21:0xfa8b6c9cbfe474ad!8m2!3d12.9372837!4d77.5823059!16s%2Fg%2F11qbh0hp7f!19sChIJIYyG_K0VrjsRrXTkv5xsi_o?authuser=0&hl=en&rclk=1,https://wa.link/vmo7zs,"['sales@techmindsllc.com', 'info@techmindsconsulting.in', 'info@techavoption.com', 'thetechmindsinfo@gmail.com', 'info@tech-minds.co.in', 'contact@grotechminds.com', 'sales@techminds.co.in', 'mstechmindsindia@gmail.com', 'info@techmindsit.co.in']",https://in.linkedin.com/company/techmindsgroup
